Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.15915E-01   27.408       1.0000       2000.0       1.1690       1.7645       338.00      0.50000       1.0846       101.48       5.1788      0.93559E-01
  2  0.14469E-01   27.408       1.0000       2200.0       1.1690       1.7645       338.00      0.50000       1.4432       123.54       6.2645      0.85601E-01
  3  0.13263E-01   27.408       1.0000       2400.0       1.1690       1.7645       338.00      0.50000       1.8739       147.82       7.4559      0.78885E-01
  4  0.12243E-01   27.408       1.0000       2600.0       1.1690       1.7645       338.00      0.50000       2.3835       174.33       8.7540      0.73141E-01
  5  0.11368E-01   27.408       1.0000       2800.0       1.1690       1.7645       338.00      0.50000       2.9790       203.08       10.160      0.68171E-01
  6  0.10610E-01   27.408       1.0000       3000.0       1.1690       1.7645       338.00      0.50000       3.6677       234.10       11.675      0.63826E-01
  7  0.99472E-02   27.408       1.0000       3200.0       1.1690       1.7645       338.00      0.50000       4.4569       267.40       13.300      0.59996E-01
  8  0.93621E-02   27.408       1.0000       3400.0       1.1690       1.7645       338.00      0.50000       5.3540       303.00       15.037      0.56594E-01
  9  0.88419E-02   27.408       1.0000       3600.0       1.1690       1.7645       338.00      0.50000       6.3667       340.94       16.888      0.53550E-01
 10  0.83766E-02   27.408       1.0000       3800.0       1.1690       1.7645       338.00      0.50000       7.5029       381.23       18.855      0.50810E-01
 11  0.79577E-02   27.408       1.0000       4000.0       1.1690       1.7645       338.00      0.50000       8.7707       423.90       20.939      0.48331E-01
 12  0.75788E-02   27.408       1.0000       4200.0       1.1690       1.7645       338.00      0.50000       10.178       468.98       23.142      0.46076E-01
 13  0.72343E-02   27.408       1.0000       4400.0       1.1690       1.7645       338.00      0.50000       11.734       516.51       25.467      0.44016E-01
 14  0.69198E-02   27.408       1.0000       4600.0       1.1690       1.7645       338.00      0.50000       13.448       566.51       27.917      0.42126E-01
 15  0.66315E-02   27.408       1.0000       4800.0       1.1690       1.7645       338.00      0.50000       15.328       619.04       30.494      0.40386E-01
 16  0.63662E-02   27.408       1.0000       5000.0       1.1690       1.7645       338.00      0.50000       17.384       674.12       33.201      0.38778E-01
 17  0.61213E-02   27.408       1.0000       5200.0       1.1690       1.7645       338.00      0.50000       19.626       731.79       36.042      0.37286E-01
 18  0.58946E-02   27.408       1.0000       5400.0       1.1690       1.7645       338.00      0.50000       22.071       792.23       39.030      0.35895E-01
 19  0.56841E-02   27.408       1.0000       5600.0       1.1690       1.7645       338.00      0.50000       24.708       855.18       42.133      0.34611E-01
 20  0.54881E-02   27.408       1.0000       5800.0       1.1690       1.7645       338.00      0.50000       27.582       921.03       45.412      0.33393E-01
 21  0.53052E-02   27.408       1.0000       6000.0       1.1690       1.7645       338.00      0.50000       30.670       989.49       48.812      0.32263E-01
 22  0.51340E-02   27.408       1.0000       6200.0       1.1690       1.7645       338.00      0.50000       34.010       1060.9       52.382      0.31195E-01
 23  0.49736E-02   27.408       1.0000       6400.0       1.1690       1.7645       338.00      0.50000       37.615       1135.3       56.124      0.30183E-01
 24  0.48229E-02   27.408       1.0000       6600.0       1.1690       1.7645       338.00      0.50000       41.522       1212.8       60.076      0.29209E-01
 25  0.46810E-02   27.408       1.0000       6800.0       1.1690       1.7645       338.00      0.50000       45.733       1293.1       64.223      0.28275E-01
 26  0.45473E-02   27.408       1.0000       7000.0       1.1690       1.7645       338.00      0.50000       50.329       1376.5       68.658      0.27350E-01
