Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.15915E-04   20.481      0.10000E-02   2000.0       1.1690       1.7645       338.00      0.50000      0.25674       40.699       1.2258      0.15852E-03
  2  0.14469E-04   20.481      0.10000E-02   2200.0       1.1690       1.7645       338.00      0.50000      0.34089       49.312       1.4797      0.14466E-03
  3  0.13263E-04   20.481      0.10000E-02   2400.0       1.1690       1.7645       338.00      0.50000      0.44177       58.770       1.7578      0.13303E-03
  4  0.12243E-04   20.481      0.10000E-02   2600.0       1.1690       1.7645       338.00      0.50000      0.56098       69.080       2.0604      0.12314E-03
  5  0.11368E-04   20.481      0.10000E-02   2800.0       1.1690       1.7645       338.00      0.50000      0.70013       80.248       2.3878      0.11462E-03
  6  0.10610E-04   20.481      0.10000E-02   3000.0       1.1690       1.7645       338.00      0.50000      0.86087       92.283       2.7402      0.10720E-03
  7  0.99472E-05   20.481      0.10000E-02   3200.0       1.1690       1.7645       338.00      0.50000       1.0449       105.19       3.1181      0.10067E-03
  8  0.93621E-05   20.481      0.10000E-02   3400.0       1.1690       1.7645       338.00      0.50000       1.2539       118.99       3.5217      0.94895E-04
  9  0.88419E-05   20.481      0.10000E-02   3600.0       1.1690       1.7645       338.00      0.50000       1.4897       133.68       3.9515      0.89737E-04
 10  0.83766E-05   20.481      0.10000E-02   3800.0       1.1690       1.7645       338.00      0.50000       1.7540       149.27       4.4079      0.85103E-04
 11  0.79577E-05   20.481      0.10000E-02   4000.0       1.1690       1.7645       338.00      0.50000       2.0489       165.79       4.8913      0.80917E-04
 12  0.75788E-05   20.481      0.10000E-02   4200.0       1.1690       1.7645       338.00      0.50000       2.3761       183.24       5.4024      0.77115E-04
 13  0.72343E-05   20.481      0.10000E-02   4400.0       1.1690       1.7645       338.00      0.50000       2.7378       201.63       5.9417      0.73647E-04
 14  0.69198E-05   20.481      0.10000E-02   4600.0       1.1690       1.7645       338.00      0.50000       3.1359       220.98       6.5098      0.70468E-04
 15  0.66315E-05   20.481      0.10000E-02   4800.0       1.1690       1.7645       338.00      0.50000       3.5726       241.31       7.1074      0.67544E-04
 16  0.63662E-05   20.481      0.10000E-02   5000.0       1.1690       1.7645       338.00      0.50000       4.0502       262.63       7.7352      0.64844E-04
 17  0.61213E-05   20.481      0.10000E-02   5200.0       1.1690       1.7645       338.00      0.50000       4.5709       284.96       8.3941      0.62343E-04
 18  0.58946E-05   20.481      0.10000E-02   5400.0       1.1690       1.7645       338.00      0.50000       5.1373       308.33       9.0848      0.60018E-04
 19  0.56841E-05   20.481      0.10000E-02   5600.0       1.1690       1.7645       338.00      0.50000       5.7519       332.76       9.8084      0.57852E-04
 20  0.54881E-05   20.481      0.10000E-02   5800.0       1.1690       1.7645       338.00      0.50000       6.4174       358.26       10.566      0.55827E-04
 21  0.53052E-05   20.481      0.10000E-02   6000.0       1.1690       1.7645       338.00      0.50000       7.1365       384.87       11.358      0.53929E-04
 22  0.51340E-05   20.481      0.10000E-02   6200.0       1.1690       1.7645       338.00      0.50000       7.9128       412.60       12.187      0.52144E-04
 23  0.49736E-05   20.481      0.10000E-02   6400.0       1.1690       1.7645       338.00      0.50000       8.7513       441.49       13.058      0.50449E-04
 24  0.48229E-05   20.481      0.10000E-02   6600.0       1.1690       1.7645       338.00      0.50000       9.6591       471.57       13.975      0.48821E-04
 25  0.46810E-05   20.481      0.10000E-02   6800.0       1.1690       1.7645       338.00      0.50000       10.646       502.85       14.950      0.47234E-04
 26  0.45473E-05   20.481      0.10000E-02   7000.0       1.1690       1.7645       338.00      0.50000       11.724       535.37       15.994      0.45663E-04
