Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.15915E-01   20.862       1.0000       2000.0       1.1690       1.7645       338.00      0.50000      0.27738       39.122       1.3244      0.14104    
  2  0.14469E-01   20.862       1.0000       2200.0       1.1690       1.7645       338.00      0.50000      0.36834       47.803       1.5988      0.12978    
  3  0.13263E-01   20.862       1.0000       2400.0       1.1690       1.7645       338.00      0.50000      0.47741       57.376       1.8996      0.12018    
  4  0.12243E-01   20.862       1.0000       2600.0       1.1690       1.7645       338.00      0.50000      0.60630       67.846       2.2268      0.11190    
  5  0.11368E-01   20.862       1.0000       2800.0       1.1690       1.7645       338.00      0.50000      0.75677       79.221       2.5809      0.10468    
  6  0.10610E-01   20.862       1.0000       3000.0       1.1690       1.7645       338.00      0.50000      0.93059       91.510       2.9622      0.98335E-01
  7  0.99472E-02   20.862       1.0000       3200.0       1.1690       1.7645       338.00      0.50000       1.1296       104.72       3.3709      0.92707E-01
  8  0.93621E-02   20.862       1.0000       3400.0       1.1690       1.7645       338.00      0.50000       1.3556       118.87       3.8075      0.87681E-01
  9  0.88419E-02   20.862       1.0000       3600.0       1.1690       1.7645       338.00      0.50000       1.6107       133.95       4.2724      0.83166E-01
 10  0.83766E-02   20.862       1.0000       3800.0       1.1690       1.7645       338.00      0.50000       1.8966       149.99       4.7662      0.79085E-01
 11  0.79577E-02   20.862       1.0000       4000.0       1.1690       1.7645       338.00      0.50000       2.2155       167.00       5.2892      0.75378E-01
 12  0.75788E-02   20.862       1.0000       4200.0       1.1690       1.7645       338.00      0.50000       2.5695       184.99       5.8421      0.71995E-01
 13  0.72343E-02   20.862       1.0000       4400.0       1.1690       1.7645       338.00      0.50000       2.9607       203.98       6.4256      0.68895E-01
 14  0.69198E-02   20.862       1.0000       4600.0       1.1690       1.7645       338.00      0.50000       3.3913       223.97       7.0402      0.66042E-01
 15  0.66315E-02   20.862       1.0000       4800.0       1.1690       1.7645       338.00      0.50000       3.8637       244.99       7.6867      0.63408E-01
 16  0.63662E-02   20.862       1.0000       5000.0       1.1690       1.7645       338.00      0.50000       4.3803       267.06       8.3658      0.60968E-01
 17  0.61213E-02   20.862       1.0000       5200.0       1.1690       1.7645       338.00      0.50000       4.9436       290.19       9.0785      0.58700E-01
 18  0.58946E-02   20.862       1.0000       5400.0       1.1690       1.7645       338.00      0.50000       5.5563       314.41       9.8257      0.56587E-01
 19  0.56841E-02   20.862       1.0000       5600.0       1.1690       1.7645       338.00      0.50000       6.2210       339.74       10.608      0.54612E-01
 20  0.54881E-02   20.862       1.0000       5800.0       1.1690       1.7645       338.00      0.50000       6.9407       366.20       11.427      0.52761E-01
 21  0.53052E-02   20.862       1.0000       6000.0       1.1690       1.7645       338.00      0.50000       7.7184       393.82       12.284      0.51023E-01
 22  0.51340E-02   20.862       1.0000       6200.0       1.1690       1.7645       338.00      0.50000       8.5580       422.62       13.181      0.49383E-01
 23  0.49736E-02   20.862       1.0000       6400.0       1.1690       1.7645       338.00      0.50000       9.4651       452.63       14.123      0.47822E-01
 24  0.48229E-02   20.862       1.0000       6600.0       1.1690       1.7645       338.00      0.50000       10.447       483.89       15.116      0.46317E-01
 25  0.46810E-02   20.862       1.0000       6800.0       1.1690       1.7645       338.00      0.50000       11.515       516.40       16.171      0.44845E-01
 26  0.45473E-02   20.862       1.0000       7000.0       1.1690       1.7645       338.00      0.50000       12.682       550.21       17.301      0.43384E-01
 27  0.44210E-02   20.862       1.0000       7200.0       1.1690       1.7645       338.00      0.50000       13.966       585.32       18.524      0.41909E-01
 28  0.43015E-02   20.862       1.0000       7400.0       1.1690       1.7645       338.00      0.50000       15.389       621.77       19.859      0.40403E-01
 29  0.41883E-02   20.862       1.0000       7600.0       1.1690       1.7645       338.00      0.50000       16.978       659.56       21.332      0.38849E-01
 30  0.40809E-02   20.862       1.0000       7800.0       1.1690       1.7645       338.00      0.50000       18.764       698.70       22.973      0.37235E-01
 31  0.39789E-02   20.862       1.0000       8000.0       1.1690       1.7645       338.00      0.50000       20.788       739.18       24.814      0.35557E-01
 32  0.38818E-02   20.862       1.0000       8200.0       1.1690       1.7645       338.00      0.50000       23.089       780.94       26.889      0.33822E-01
 33  0.37894E-02   20.862       1.0000       8400.0       1.1690       1.7645       338.00      0.50000       25.588       822.74       29.089      0.32153E-01
 34  0.37013E-02   20.862       1.0000       8600.0       1.1690       1.7645       338.00      0.50000       28.173       863.38       31.283      0.30646E-01
 35  0.36172E-02   20.862       1.0000       8800.0       1.1690       1.7645       338.00      0.50000       30.790       902.28       33.412      0.29304E-01
 36  0.35368E-02   20.862       1.0000       9000.0       1.1690       1.7645       338.00      0.50000       33.448       939.44       35.489      0.28086E-01
 37  0.34599E-02   20.862       1.0000       9200.0       1.1690       1.7645       338.00      0.50000       36.159       974.85       37.532      0.26960E-01
 38  0.33863E-02   20.862       1.0000       9400.0       1.1690       1.7645       338.00      0.50000       38.920       1008.4       39.538      0.25909E-01
 39  0.33157E-02   20.862       1.0000       9600.0       1.1690       1.7645       338.00      0.50000       41.751       1040.0       41.531      0.24910E-01
 40  0.32481E-02   20.862       1.0000       9800.0       1.1690       1.7645       338.00      0.50000       44.694       1070.0       43.551      0.23940E-01
 41  0.31831E-02   20.862       1.0000       10000.       1.1690       1.7645       338.00      0.50000       47.730       1098.0       45.579      0.23003E-01
