Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.10000       26.920       27.000       8594.4       1.1690       1.7645       338.00      0.50000       57.758       932.09       64.176      0.43572    
  2  0.12000       26.920       27.000       7162.0       1.1690       1.7645       338.00      0.50000       30.468       621.56       40.624      0.55082    
  3  0.14000       26.920       27.000       6138.8       1.1690       1.7645       338.00      0.50000       18.860       426.96       29.338      0.61124    
  4  0.16000       26.920       27.000       5371.5       1.1690       1.7645       338.00      0.50000       12.608       304.45       22.414      0.65199    
  5  0.18000       26.920       27.000       4774.6       1.1690       1.7645       338.00      0.50000       8.7792       223.04       17.558      0.68595    
  6  0.20000       26.920       27.000       4297.2       1.1690       1.7645       338.00      0.50000       6.2951       166.65       13.989      0.71476    
  7  0.22000       26.920       27.000       3906.5       1.1690       1.7645       338.00      0.50000       4.6216       126.51       11.297      0.73910    
  8  0.24000       26.920       27.000       3581.0       1.1690       1.7645       338.00      0.50000       3.4575       97.245       9.2199      0.75941    
  9  0.26000       26.920       27.000       3305.5       1.1690       1.7645       338.00      0.50000       2.6240       75.419       7.5804      0.77604    
 10  0.28000       26.920       27.000       3069.4       1.1690       1.7645       338.00      0.50000       2.0117       58.803       6.2586      0.78923    
 11  0.30000       26.920       27.000       2864.8       1.1690       1.7645       338.00      0.50000       1.5517       45.922       5.1722      0.79908    
 12  0.32000       26.920       27.000       2685.7       1.1690       1.7645       338.00      0.50000       1.1992       35.772       4.2637      0.80543    
 13  0.34000       26.920       27.000       2527.8       1.1690       1.7645       338.00      0.50000      0.92442       27.660       3.4923      0.80787    
 14  0.36000       26.920       27.000       2387.3       1.1690       1.7645       338.00      0.50000      0.70709       21.094       2.8284      0.80547    
 15  0.38000       26.920       27.000       2261.7       1.1690       1.7645       338.00      0.50000      0.53292       15.721       2.2501      0.79649    
 16  0.40000       26.920       27.000       2148.6       1.1690       1.7645       338.00      0.50000      0.39176       11.280       1.7411      0.77743    
