Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.28937E-01   25.304       2.0000       2200.0       1.1690       1.7645       338.00      0.50000       1.0678       96.266       4.6351      0.18030    
  2  0.57875E-01   25.304       4.0000       2200.0       1.1690       1.7645       338.00      0.50000       1.0691       86.018       4.6404      0.32184    
  3  0.86812E-01   25.304       6.0000       2200.0       1.1690       1.7645       338.00      0.50000       1.0654       76.971       4.6246      0.43346    
  4  0.11575       25.304       8.0000       2200.0       1.1690       1.7645       338.00      0.50000       1.0552       68.850       4.5802      0.52199    
  5  0.14469       25.304       10.000       2200.0       1.1690       1.7645       338.00      0.50000       1.0377       61.487       4.5043      0.59252    
  6  0.17362       25.304       12.000       2200.0       1.1690       1.7645       338.00      0.50000       1.0119       54.712       4.3921      0.64885    
  7  0.20256       25.304       14.000       2200.0       1.1690       1.7645       338.00      0.50000      0.97630       48.377       4.2377      0.69371    
  8  0.23150       25.304       16.000       2200.0       1.1690       1.7645       338.00      0.50000      0.92949       42.353       4.0345      0.72906    
  9  0.26044       25.304       18.000       2200.0       1.1690       1.7645       338.00      0.50000      0.86982       36.536       3.7755      0.75608    
 10  0.28937       25.304       20.000       2200.0       1.1690       1.7645       338.00      0.50000      0.79567       30.837       3.4537      0.77513    
 11  0.31831       25.304       22.000       2200.0       1.1690       1.7645       338.00      0.50000      0.70548       25.187       3.0622      0.78545    
 12  0.34725       25.304       24.000       2200.0       1.1690       1.7645       338.00      0.50000      0.59776       19.531       2.5946      0.78415    
 13  0.37618       25.304       26.000       2200.0       1.1690       1.7645       338.00      0.50000      0.47115       13.824       2.0451      0.76288    
 14  0.40512       25.304       28.000       2200.0       1.1690       1.7645       338.00      0.50000      0.32440       8.0360       1.4081      0.69361    
 15  0.43406       25.304       30.000       2200.0       1.1690       1.7645       338.00      0.50000      0.15648       2.1434      0.67920      0.41095    
