Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.10000       27.408       27.000       8594.4       1.1690       1.7645       338.00      0.50000       108.08       1587.6       120.09      0.39662    
  2  0.12000       27.408       27.000       7162.0       1.1690       1.7645       338.00      0.50000       53.828       993.01       71.771      0.49809    
  3  0.14000       27.408       27.000       6138.8       1.1690       1.7645       338.00      0.50000       32.352       662.69       50.326      0.55306    
  4  0.16000       27.408       27.000       5371.5       1.1690       1.7645       338.00      0.50000       21.012       465.01       37.355      0.59753    
  5  0.18000       27.408       27.000       4774.6       1.1690       1.7645       338.00      0.50000       14.361       338.06       28.722      0.63559    
  6  0.20000       27.408       27.000       4297.2       1.1690       1.7645       338.00      0.50000       10.190       252.23       22.644      0.66831    
  7  0.22000       27.408       27.000       3906.5       1.1690       1.7645       338.00      0.50000       7.4372       191.84       18.180      0.69647    
  8  0.24000       27.408       27.000       3581.0       1.1690       1.7645       338.00      0.50000       5.5452       148.00       14.787      0.72064    
  9  0.26000       27.408       27.000       3305.5       1.1690       1.7645       338.00      0.50000       4.2011       115.33       12.137      0.74124    
 10  0.28000       27.408       27.000       3069.4       1.1690       1.7645       338.00      0.50000       3.2195       90.451       10.016      0.75856    
 11  0.30000       27.408       27.000       2864.8       1.1690       1.7645       338.00      0.50000       2.4857       71.140       8.2856      0.77274    
 12  0.32000       27.408       27.000       2685.7       1.1690       1.7645       338.00      0.50000       1.9260       55.907       6.8480      0.78374    
 13  0.34000       27.408       27.000       2527.8       1.1690       1.7645       338.00      0.50000       1.4917       43.719       5.6354      0.79131    
 14  0.36000       27.408       27.000       2387.3       1.1690       1.7645       338.00      0.50000       1.1496       33.844       4.5984      0.79488    
 15  0.38000       27.408       27.000       2261.7       1.1690       1.7645       338.00      0.50000      0.87647       25.752       3.7007      0.79331    
 16  0.40000       27.408       27.000       2148.6       1.1690       1.7645       338.00      0.50000      0.65590       19.056       2.9151      0.78445    
 17  0.42000       27.408       27.000       2046.3       1.1690       1.7645       338.00      0.50000      0.47591       13.465       2.2209      0.76389    
 18  0.44000       27.408       27.000       1953.3       1.1690       1.7645       338.00      0.50000      0.32772       8.7580       1.6022      0.72155    
 19  0.46000       27.408       27.000       1868.3       1.1690       1.7645       338.00      0.50000      0.20472       4.7676       1.0463      0.62879    
 20  0.48000       27.408       27.000       1790.5       1.1690       1.7645       338.00      0.50000      0.10194       1.3634      0.54368      0.36112    
