Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.24555       15.424       27.000       3500.0       1.1690       1.7645       338.00      0.50000      0.23391       5.0689      0.63821      0.58509    
  2  0.23228       15.424       27.000       3700.0       1.1690       1.7645       338.00      0.50000      0.34882       8.7645      0.90025      0.67842    
  3  0.22037       15.424       27.000       3900.0       1.1690       1.7645       338.00      0.50000      0.47718       12.828       1.1684      0.72581    
  4  0.20962       15.424       27.000       4100.0       1.1690       1.7645       338.00      0.50000      0.61973       17.268       1.4434      0.75232    
  5  0.19987       15.424       27.000       4300.0       1.1690       1.7645       338.00      0.50000      0.77724       22.097       1.7261      0.76760    
  6  0.19099       15.424       27.000       4500.0       1.1690       1.7645       338.00      0.50000      0.95052       27.325       2.0171      0.77618    
  7  0.18286       15.424       27.000       4700.0       1.1690       1.7645       338.00      0.50000       1.1405       32.966       2.3171      0.78045    
  8  0.17540       15.424       27.000       4900.0       1.1690       1.7645       338.00      0.50000       1.3480       39.031       2.6270      0.78179    
  9  0.16852       15.424       27.000       5100.0       1.1690       1.7645       338.00      0.50000       1.5741       45.536       2.9473      0.78107    
 10  0.16216       15.424       27.000       5300.0       1.1690       1.7645       338.00      0.50000       1.8198       52.493       3.2789      0.77882    
 11  0.15626       15.424       27.000       5500.0       1.1690       1.7645       338.00      0.50000       2.0863       59.919       3.6223      0.77546    
 12  0.15078       15.424       27.000       5700.0       1.1690       1.7645       338.00      0.50000       2.3746       67.830       3.9783      0.77124    
 13  0.14567       15.424       27.000       5900.0       1.1690       1.7645       338.00      0.50000       2.6862       76.242       4.3476      0.76635    
 14  0.14089       15.424       27.000       6100.0       1.1690       1.7645       338.00      0.50000       3.0222       85.174       4.7311      0.76094    
 15  0.13642       15.424       27.000       6300.0       1.1690       1.7645       338.00      0.50000       3.3842       94.645       5.1296      0.75511    
 16  0.13222       15.424       27.000       6500.0       1.1690       1.7645       338.00      0.50000       3.7736       104.68       5.5439      0.74895    
 17  0.12827       15.424       27.000       6700.0       1.1690       1.7645       338.00      0.50000       4.1922       115.29       5.9750      0.74253    
 18  0.12456       15.424       27.000       6900.0       1.1690       1.7645       338.00      0.50000       4.6417       126.51       6.4240      0.73589    
 19  0.12105       15.424       27.000       7100.0       1.1690       1.7645       338.00      0.50000       5.1242       138.37       6.8918      0.72907    
 20  0.11773       15.424       27.000       7300.0       1.1690       1.7645       338.00      0.50000       5.6418       150.88       7.3801      0.72209    
 21  0.11459       15.424       27.000       7500.0       1.1690       1.7645       338.00      0.50000       6.1986       164.10       7.8924      0.71476    
 22  0.11162       15.424       27.000       7700.0       1.1690       1.7645       338.00      0.50000       6.8024       178.03       8.4361      0.70665    
 23  0.10879       15.424       27.000       7900.0       1.1690       1.7645       338.00      0.50000       7.4647       192.73       9.0231      0.69712    
 24  0.10610       15.424       27.000       8100.0       1.1690       1.7645       338.00      0.50000       8.2022       208.23       9.6698      0.68546    
