Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.31831E-01   29.634       2.0000       2000.0       1.1690       1.7645       338.00      0.50000       1.3655       115.08       6.5198      0.16856    
  2  0.63662E-01   29.634       4.0000       2000.0       1.1690       1.7645       338.00      0.50000       1.3659       102.82       6.5215      0.30110    
  3  0.95493E-01   29.634       6.0000       2000.0       1.1690       1.7645       338.00      0.50000       1.3609       92.052       6.4979      0.40584    
  4  0.12732       29.634       8.0000       2000.0       1.1690       1.7645       338.00      0.50000       1.3498       82.525       6.4447      0.48911    
  5  0.15915       29.634       10.000       2000.0       1.1690       1.7645       338.00      0.50000       1.3309       73.964       6.3547      0.55573    
  6  0.19099       29.634       12.000       2000.0       1.1690       1.7645       338.00      0.50000       1.3028       66.151       6.2204      0.60931    
  7  0.22282       29.634       14.000       2000.0       1.1690       1.7645       338.00      0.50000       1.2638       58.903       6.0341      0.65252    
  8  0.25465       29.634       16.000       2000.0       1.1690       1.7645       338.00      0.50000       1.2122       52.071       5.7879      0.68728    
  9  0.28648       29.634       18.000       2000.0       1.1690       1.7645       338.00      0.50000       1.1464       45.528       5.4735      0.71487    
 10  0.31831       29.634       20.000       2000.0       1.1690       1.7645       338.00      0.50000       1.0644       39.168       5.0822      0.73596    
 11  0.35014       29.634       22.000       2000.0       1.1690       1.7645       338.00      0.50000      0.96465       32.907       4.6059      0.75049    
 12  0.38197       29.634       24.000       2000.0       1.1690       1.7645       338.00      0.50000      0.84538       26.676       4.0364      0.75732    
 13  0.41380       29.634       26.000       2000.0       1.1690       1.7645       338.00      0.50000      0.70506       20.419       3.3664      0.75299    
 14  0.44563       29.634       28.000       2000.0       1.1690       1.7645       338.00      0.50000      0.54224       14.094       2.5890      0.72779    
 15  0.47746       29.634       30.000       2000.0       1.1690       1.7645       338.00      0.50000      0.35566       7.6681       1.6982      0.64680    
