Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.15915E-01   26.303       1.0000       2000.0       1.1690       1.7645       338.00      0.50000      0.92324       92.196       4.4082      0.99861E-01
  2  0.14469E-01   26.303       1.0000       2200.0       1.1690       1.7645       338.00      0.50000       1.2281       112.32       5.3308      0.91456E-01
  3  0.13263E-01   26.303       1.0000       2400.0       1.1690       1.7645       338.00      0.50000       1.5942       134.47       6.3432      0.84350E-01
  4  0.12243E-01   26.303       1.0000       2600.0       1.1690       1.7645       338.00      0.50000       2.0273       158.67       7.4460      0.78263E-01
  5  0.11368E-01   26.303       1.0000       2800.0       1.1690       1.7645       338.00      0.50000       2.5335       184.92       8.6403      0.72989E-01
  6  0.10610E-01   26.303       1.0000       3000.0       1.1690       1.7645       338.00      0.50000       3.1187       213.24       9.9271      0.68375E-01
  7  0.99472E-02   26.303       1.0000       3200.0       1.1690       1.7645       338.00      0.50000       3.7893       243.66       11.308      0.64302E-01
  8  0.93621E-02   26.303       1.0000       3400.0       1.1690       1.7645       338.00      0.50000       4.5515       276.19       12.783      0.60681E-01
  9  0.88419E-02   26.303       1.0000       3600.0       1.1690       1.7645       338.00      0.50000       5.4120       310.86       14.356      0.57439E-01
 10  0.83766E-02   26.303       1.0000       3800.0       1.1690       1.7645       338.00      0.50000       6.3774       347.69       16.026      0.54519E-01
 11  0.79577E-02   26.303       1.0000       4000.0       1.1690       1.7645       338.00      0.50000       7.4546       386.70       17.796      0.51874E-01
 12  0.75788E-02   26.303       1.0000       4200.0       1.1690       1.7645       338.00      0.50000       8.6507       427.93       19.669      0.49468E-01
 13  0.72343E-02   26.303       1.0000       4400.0       1.1690       1.7645       338.00      0.50000       9.9731       471.41       21.645      0.47268E-01
 14  0.69198E-02   26.303       1.0000       4600.0       1.1690       1.7645       338.00      0.50000       11.429       517.16       23.727      0.45249E-01
 15  0.66315E-02   26.303       1.0000       4800.0       1.1690       1.7645       338.00      0.50000       13.027       565.23       25.917      0.43388E-01
 16  0.63662E-02   26.303       1.0000       5000.0       1.1690       1.7645       338.00      0.50000       14.775       615.66       28.219      0.41668E-01
 17  0.61213E-02   26.303       1.0000       5200.0       1.1690       1.7645       338.00      0.50000       16.682       668.48       30.635      0.40072E-01
 18  0.58946E-02   26.303       1.0000       5400.0       1.1690       1.7645       338.00      0.50000       18.756       723.74       33.168      0.38587E-01
 19  0.56841E-02   26.303       1.0000       5600.0       1.1690       1.7645       338.00      0.50000       21.007       781.50       35.822      0.37202E-01
 20  0.54881E-02   26.303       1.0000       5800.0       1.1690       1.7645       338.00      0.50000       23.445       841.81       38.601      0.35905E-01
 21  0.53052E-02   26.303       1.0000       6000.0       1.1690       1.7645       338.00      0.50000       26.080       904.71       41.508      0.34690E-01
 22  0.51340E-02   26.303       1.0000       6200.0       1.1690       1.7645       338.00      0.50000       28.924       970.29       44.549      0.33546E-01
 23  0.49736E-02   26.303       1.0000       6400.0       1.1690       1.7645       338.00      0.50000       31.991       1038.6       47.733      0.32466E-01
 24  0.48229E-02   26.303       1.0000       6600.0       1.1690       1.7645       338.00      0.50000       35.301       1109.7       51.076      0.31436E-01
 25  0.46810E-02   26.303       1.0000       6800.0       1.1690       1.7645       338.00      0.50000       38.882       1183.7       54.603      0.30443E-01
 26  0.45473E-02   26.303       1.0000       7000.0       1.1690       1.7645       338.00      0.50000       42.770       1260.6       58.346      0.29474E-01
 27  0.44210E-02   26.303       1.0000       7200.0       1.1690       1.7645       338.00      0.50000       47.009       1340.4       62.347      0.28515E-01
 28  0.43015E-02   26.303       1.0000       7400.0       1.1690       1.7645       338.00      0.50000       51.658       1423.3       66.662      0.27553E-01
 29  0.41883E-02   26.303       1.0000       7600.0       1.1690       1.7645       338.00      0.50000       56.790       1509.3       71.356      0.26577E-01
 30  0.40809E-02   26.303       1.0000       7800.0       1.1690       1.7645       338.00      0.50000       62.495       1598.4       76.510      0.25577E-01
 31  0.39789E-02   26.303       1.0000       8000.0       1.1690       1.7645       338.00      0.50000       68.883       1690.7       82.223      0.24544E-01
 32  0.38818E-02   26.303       1.0000       8200.0       1.1690       1.7645       338.00      0.50000       76.052       1785.8       88.566      0.23481E-01
 33  0.37894E-02   26.303       1.0000       8400.0       1.1690       1.7645       338.00      0.50000       83.986       1882.5       95.477      0.22414E-01
 34  0.37013E-02   26.303       1.0000       8600.0       1.1690       1.7645       338.00      0.50000       92.358       1977.5       102.55      0.21411E-01
 35  0.36172E-02   26.303       1.0000       8800.0       1.1690       1.7645       338.00      0.50000       100.78       2067.8       109.36      0.20517E-01
 36  0.35368E-02   26.303       1.0000       9000.0       1.1690       1.7645       338.00      0.50000       109.22       2153.1       115.88      0.19714E-01
