Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.63662E-01   27.408       4.0000       2000.0       1.1690       1.7645       338.00      0.50000       1.0873       86.710       5.1917      0.31898    
  2  0.95493E-01   27.408       6.0000       2000.0       1.1690       1.7645       338.00      0.50000       1.0845       78.232       5.1780      0.43283    
  3  0.12732       27.408       8.0000       2000.0       1.1690       1.7645       338.00      0.50000       1.0760       70.572       5.1376      0.52469    
  4  0.15916       27.408       10.000       2000.0       1.1690       1.7645       338.00      0.50000       1.0610       63.572       5.0661      0.59915    
  5  0.19099       27.408       12.000       2000.0       1.1690       1.7645       338.00      0.50000       1.0385       57.089       4.9585      0.65967    
  6  0.22282       27.408       14.000       2000.0       1.1690       1.7645       338.00      0.50000       1.0072       51.000       4.8092      0.70888    
  7  0.25465       27.408       16.000       2000.0       1.1690       1.7645       338.00      0.50000      0.96591       45.199       4.6119      0.74870    
  8  0.28648       27.408       18.000       2000.0       1.1690       1.7645       338.00      0.50000      0.91317       39.592       4.3601      0.78042    
  9  0.31831       27.408       20.000       2000.0       1.1690       1.7645       338.00      0.50000      0.84759       34.104       4.0470      0.80472    
 10  0.35014       27.408       22.000       2000.0       1.1690       1.7645       338.00      0.50000      0.76776       28.668       3.6658      0.82149    
 11  0.38197       27.408       24.000       2000.0       1.1690       1.7645       338.00      0.50000      0.67234       23.235       3.2102      0.82941    
 12  0.41380       27.408       26.000       2000.0       1.1690       1.7645       338.00      0.50000      0.56007       17.762       2.6742      0.82454    
 13  0.44564       27.408       28.000       2000.0       1.1690       1.7645       338.00      0.50000      0.42982       12.216       2.0522      0.79580    
 14  0.47747       27.408       30.000       2000.0       1.1690       1.7645       338.00      0.50000      0.28055       6.5740       1.3395      0.70297    
