Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.15915E-01   19.764       1.0000       2000.0       1.1690       1.7645       338.00      0.50000      0.22119       33.076       1.0561      0.14954    
  2  0.14469E-01   19.764       1.0000       2200.0       1.1690       1.7645       338.00      0.50000      0.29357       40.444       1.2743      0.13777    
  3  0.13263E-01   19.764       1.0000       2400.0       1.1690       1.7645       338.00      0.50000      0.38033       48.572       1.5133      0.12771    
  4  0.12243E-01   19.764       1.0000       2600.0       1.1690       1.7645       338.00      0.50000      0.48282       57.465       1.7733      0.11902    
  5  0.11368E-01   19.764       1.0000       2800.0       1.1690       1.7645       338.00      0.50000      0.60242       67.131       2.0545      0.11144    
  6  0.10610E-01   19.764       1.0000       3000.0       1.1690       1.7645       338.00      0.50000      0.74055       77.576       2.3572      0.10475    
  7  0.99472E-02   19.764       1.0000       3200.0       1.1690       1.7645       338.00      0.50000      0.89866       88.808       2.6817      0.98823E-01
  8  0.93621E-02   19.764       1.0000       3400.0       1.1690       1.7645       338.00      0.50000       1.0782       100.84       3.0283      0.93520E-01
  9  0.88419E-02   19.764       1.0000       3600.0       1.1690       1.7645       338.00      0.50000       1.2808       113.67       3.3973      0.88751E-01
 10  0.83766E-02   19.764       1.0000       3800.0       1.1690       1.7645       338.00      0.50000       1.5078       127.32       3.7892      0.84437E-01
 11  0.79577E-02   19.764       1.0000       4000.0       1.1690       1.7645       338.00      0.50000       1.7611       141.79       4.2042      0.80516E-01
 12  0.75788E-02   19.764       1.0000       4200.0       1.1690       1.7645       338.00      0.50000       2.0421       157.11       4.6430      0.76934E-01
 13  0.72343E-02   19.764       1.0000       4400.0       1.1690       1.7645       338.00      0.50000       2.3526       173.27       5.1059      0.73650E-01
 14  0.69198E-02   19.764       1.0000       4600.0       1.1690       1.7645       338.00      0.50000       2.6945       190.30       5.5936      0.70625E-01
 15  0.66315E-02   19.764       1.0000       4800.0       1.1690       1.7645       338.00      0.50000       3.0696       208.21       6.1067      0.67831E-01
 16  0.63662E-02   19.764       1.0000       5000.0       1.1690       1.7645       338.00      0.50000       3.4797       227.02       6.6457      0.65241E-01
 17  0.61213E-02   19.764       1.0000       5200.0       1.1690       1.7645       338.00      0.50000       3.9269       246.74       7.2114      0.62832E-01
 18  0.58946E-02   19.764       1.0000       5400.0       1.1690       1.7645       338.00      0.50000       4.4134       267.39       7.8045      0.60586E-01
 19  0.56841E-02   19.764       1.0000       5600.0       1.1690       1.7645       338.00      0.50000       4.9412       288.99       8.4259      0.58486E-01
 20  0.54881E-02   19.764       1.0000       5800.0       1.1690       1.7645       338.00      0.50000       5.5128       311.57       9.0765      0.56518E-01
 21  0.53052E-02   19.764       1.0000       6000.0       1.1690       1.7645       338.00      0.50000       6.1306       335.15       9.7571      0.54668E-01
 22  0.51340E-02   19.764       1.0000       6200.0       1.1690       1.7645       338.00      0.50000       6.7974       359.74       10.469      0.52924E-01
 23  0.49736E-02   19.764       1.0000       6400.0       1.1690       1.7645       338.00      0.50000       7.5175       385.39       11.217      0.51265E-01
 24  0.48229E-02   19.764       1.0000       6600.0       1.1690       1.7645       338.00      0.50000       8.2970       412.10       12.005      0.49669E-01
 25  0.46810E-02   19.764       1.0000       6800.0       1.1690       1.7645       338.00      0.50000       9.1440       439.92       12.841      0.48110E-01
 26  0.45473E-02   19.764       1.0000       7000.0       1.1690       1.7645       338.00      0.50000       10.070       468.86       13.737      0.46561E-01
 27  0.44210E-02   19.764       1.0000       7200.0       1.1690       1.7645       338.00      0.50000       11.088       498.95       14.706      0.44998E-01
 28  0.43015E-02   19.764       1.0000       7400.0       1.1690       1.7645       338.00      0.50000       12.218       530.20       15.767      0.43396E-01
 29  0.41883E-02   19.764       1.0000       7600.0       1.1690       1.7645       338.00      0.50000       13.481       562.65       16.939      0.41737E-01
 30  0.40809E-02   19.764       1.0000       7800.0       1.1690       1.7645       338.00      0.50000       14.905       596.31       18.248      0.40006E-01
 31  0.39789E-02   19.764       1.0000       8000.0       1.1690       1.7645       338.00      0.50000       16.524       631.18       19.724      0.38197E-01
