Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.30315E-01   26.303       2.0000       2100.0       1.1690       1.7645       338.00      0.50000       1.0704       96.306       4.8672      0.17995    
  2  0.60630E-01   26.303       4.0000       2100.0       1.1690       1.7645       338.00      0.50000       1.0720       86.066       4.8747      0.32114    
  3  0.90946E-01   26.303       6.0000       2100.0       1.1690       1.7645       338.00      0.50000       1.0685       77.009       4.8587      0.43244    
  4  0.12126       26.303       8.0000       2100.0       1.1690       1.7645       338.00      0.50000       1.0583       68.883       4.8122      0.52073    
  5  0.15158       26.303       10.000       2100.0       1.1690       1.7645       338.00      0.50000       1.0407       61.517       4.7325      0.59110    
  6  0.18189       26.303       12.000       2100.0       1.1690       1.7645       338.00      0.50000       1.0148       54.740       4.6144      0.64733    
  7  0.21221       26.303       14.000       2100.0       1.1690       1.7645       338.00      0.50000      0.97902       48.403       4.4519      0.69217    
  8  0.24252       26.303       16.000       2100.0       1.1690       1.7645       338.00      0.50000      0.93195       42.377       4.2379      0.72755    
  9  0.27284       26.303       18.000       2100.0       1.1690       1.7645       338.00      0.50000      0.87197       36.557       3.9651      0.75464    
 10  0.30315       26.303       20.000       2100.0       1.1690       1.7645       338.00      0.50000      0.79745       30.854       3.6262      0.77381    
 11  0.33347       26.303       22.000       2100.0       1.1690       1.7645       338.00      0.50000      0.70682       25.197       3.2141      0.78425    
 12  0.36378       26.303       24.000       2100.0       1.1690       1.7645       338.00      0.50000      0.59861       19.530       2.7221      0.78302    
 13  0.39410       26.303       26.000       2100.0       1.1690       1.7645       338.00      0.50000      0.47145       13.811       2.1438      0.76165    
 14  0.42441       26.303       28.000       2100.0       1.1690       1.7645       338.00      0.50000      0.32411       8.0056       1.4738      0.69160    
 15  0.45473       26.303       30.000       2100.0       1.1690       1.7645       338.00      0.50000      0.15555       2.0920      0.70735      0.40345    
