Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.14469E-04   23.507      0.10000E-02   2200.0       1.1690       1.7645       338.00      0.50000      0.80677       89.483       3.5018      0.11092E-03
  2  0.13263E-04   23.507      0.10000E-02   2400.0       1.1690       1.7645       338.00      0.50000       1.0469       106.64       4.1655      0.10186E-03
  3  0.12243E-04   23.507      0.10000E-02   2600.0       1.1690       1.7645       338.00      0.50000       1.3309       125.33       4.8883      0.94165E-04
  4  0.11368E-04   23.507      0.10000E-02   2800.0       1.1690       1.7645       338.00      0.50000       1.6628       145.57       5.6709      0.87548E-04
  5  0.10610E-04   23.507      0.10000E-02   3000.0       1.1690       1.7645       338.00      0.50000       2.0464       167.38       6.5139      0.81794E-04
  6  0.99472E-05   23.507      0.10000E-02   3200.0       1.1690       1.7645       338.00      0.50000       2.4859       190.77       7.4182      0.76743E-04
  7  0.93621E-05   23.507      0.10000E-02   3400.0       1.1690       1.7645       338.00      0.50000       2.9853       215.76       8.3847      0.72273E-04
  8  0.88419E-05   23.507      0.10000E-02   3600.0       1.1690       1.7645       338.00      0.50000       3.5491       242.36       9.4142      0.68288E-04
  9  0.83766E-05   23.507      0.10000E-02   3800.0       1.1690       1.7645       338.00      0.50000       4.1815       270.59       10.508      0.64713E-04
 10  0.79577E-05   23.507      0.10000E-02   4000.0       1.1690       1.7645       338.00      0.50000       4.8870       300.48       11.667      0.61485E-04
 11  0.75788E-05   23.507      0.10000E-02   4200.0       1.1690       1.7645       338.00      0.50000       5.6703       332.04       12.892      0.58557E-04
 12  0.72343E-05   23.507      0.10000E-02   4400.0       1.1690       1.7645       338.00      0.50000       6.5363       365.30       14.186      0.55888E-04
 13  0.69198E-05   23.507      0.10000E-02   4600.0       1.1690       1.7645       338.00      0.50000       7.4899       400.28       15.549      0.53443E-04
 14  0.66315E-05   23.507      0.10000E-02   4800.0       1.1690       1.7645       338.00      0.50000       8.5362       437.02       16.982      0.51196E-04
 15  0.63662E-05   23.507      0.10000E-02   5000.0       1.1690       1.7645       338.00      0.50000       9.6808       475.54       18.489      0.49123E-04
 16  0.61213E-05   23.507      0.10000E-02   5200.0       1.1690       1.7645       338.00      0.50000       10.929       515.88       20.070      0.47203E-04
 17  0.58946E-05   23.507      0.10000E-02   5400.0       1.1690       1.7645       338.00      0.50000       12.287       558.07       21.728      0.45420E-04
 18  0.56841E-05   23.507      0.10000E-02   5600.0       1.1690       1.7645       338.00      0.50000       13.761       602.16       23.465      0.43759E-04
 19  0.54881E-05   23.507      0.10000E-02   5800.0       1.1690       1.7645       338.00      0.50000       15.357       648.17       25.284      0.42207E-04
