Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.10000       20.862       27.000       8594.4       1.1690       1.7645       338.00      0.50000       27.792       532.84       30.880      0.51765    
  2  0.12000       20.862       27.000       7162.0       1.1690       1.7645       338.00      0.50000       13.392       317.92       17.856      0.64095    
  3  0.14000       20.862       27.000       6138.8       1.1690       1.7645       338.00      0.50000       7.9588       203.21       12.380      0.68937    
  4  0.16000       20.862       27.000       5371.5       1.1690       1.7645       338.00      0.50000       5.0789       136.19       9.0292      0.72398    
  5  0.18000       20.862       27.000       4774.6       1.1690       1.7645       338.00      0.50000       3.3846       93.979       6.7692      0.74970    
  6  0.20000       20.862       27.000       4297.2       1.1690       1.7645       338.00      0.50000       2.3177       65.877       5.1504      0.76743    
  7  0.22000       20.862       27.000       3906.5       1.1690       1.7645       338.00      0.50000       1.6103       46.383       3.9362      0.77772    
  8  0.24000       20.862       27.000       3581.0       1.1690       1.7645       338.00      0.50000       1.1217       32.393       2.9913      0.77971    
  9  0.26000       20.862       27.000       3305.5       1.1690       1.7645       338.00      0.50000      0.77314       22.076       2.2335      0.77096    
 10  0.28000       20.862       27.000       3069.4       1.1690       1.7645       338.00      0.50000      0.51770       14.294       1.6106      0.74549    
 11  0.30000       20.862       27.000       2864.8       1.1690       1.7645       338.00      0.50000      0.32635       8.3120       1.0878      0.68768    
 12  0.32000       20.862       27.000       2685.7       1.1690       1.7645       338.00      0.50000      0.18039       3.6407      0.64140      0.54492    
 13  0.34000       20.862       27.000       2527.8       1.1690       1.7645       338.00      0.50000      0.67441E-01 -0.53553E-01  0.25478     -0.21440E-01
 14  0.36000       20.862       27.000       2387.3       1.1690       1.7645       338.00      0.50000     -0.20677E-01  -2.9939     -0.82709E-01   3.9094    
 15  0.38000       20.862       27.000       2261.7       1.1690       1.7645       338.00      0.50000     -0.89353E-01  -5.3266     -0.37727       1.6096    
 16  0.40000       20.862       27.000       2148.6       1.1690       1.7645       338.00      0.50000     -0.14111      -7.1066     -0.62717       1.3597    
 17  0.42000       20.862       27.000       2046.3       1.1690       1.7645       338.00      0.50000     -0.17592      -8.3017     -0.82098       1.2741    
 18  0.44000       20.862       27.000       1953.3       1.1690       1.7645       338.00      0.50000     -0.19351      -8.8861     -0.94604       1.2399    
 19  0.46000       20.862       27.000       1868.3       1.1690       1.7645       338.00      0.50000     -0.19713      -8.9852      -1.0076       1.2307    
 20  0.48000       20.862       27.000       1790.5       1.1690       1.7645       338.00      0.50000     -0.19219      -8.8062      -1.0250       1.2372    
 21  0.50000       20.862       27.000       1718.9       1.1690       1.7645       338.00      0.50000     -0.18328      -8.5188      -1.0182       1.2550    
