Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.17684E-04   27.394      0.10000E-02   1800.0       1.1690       1.7645       338.00      0.50000      0.78152       87.919       4.1461      0.11250E-03
  2  0.15915E-04   27.394      0.10000E-02   2000.0       1.1690       1.7645       338.00      0.50000       1.0714       108.67       5.1158      0.10142E-03
  3  0.14469E-04   27.394      0.10000E-02   2200.0       1.1690       1.7645       338.00      0.50000       1.4259       131.65       6.1891      0.92328E-04
  4  0.13263E-04   27.394      0.10000E-02   2400.0       1.1690       1.7645       338.00      0.50000       1.8515       156.88       7.3671      0.84727E-04
  5  0.12243E-04   27.394      0.10000E-02   2600.0       1.1690       1.7645       338.00      0.50000       2.3553       184.37       8.6506      0.78277E-04
  6  0.11368E-04   27.394      0.10000E-02   2800.0       1.1690       1.7645       338.00      0.50000       2.9441       214.14       10.041      0.72733E-04
  7  0.10610E-04   27.394      0.10000E-02   3000.0       1.1690       1.7645       338.00      0.50000       3.6251       246.20       11.539      0.67917E-04
  8  0.99472E-05   27.394      0.10000E-02   3200.0       1.1690       1.7645       338.00      0.50000       4.4055       280.59       13.147      0.63692E-04
  9  0.93621E-05   27.394      0.10000E-02   3400.0       1.1690       1.7645       338.00      0.50000       5.2927       317.33       14.865      0.59955E-04
 10  0.88419E-05   27.394      0.10000E-02   3600.0       1.1690       1.7645       338.00      0.50000    
 11  0.83766E-05   27.394      0.10000E-02   3800.0       1.1690       1.7645       338.00      0.50000       7.4184       397.92       18.642      0.53639E-04
 12  0.79577E-05   27.394      0.10000E-02   4000.0       1.1690       1.7645       338.00      0.50000       8.6727       441.83       20.705      0.50945E-04
 13  0.75788E-05   27.394      0.10000E-02   4200.0       1.1690       1.7645       338.00      0.50000       10.066       488.20       22.886      0.48502E-04
 14  0.72343E-05   27.394      0.10000E-02   4400.0       1.1690       1.7645       338.00      0.50000       11.606       537.06       25.188      0.46275E-04
 15  0.69198E-05   27.394      0.10000E-02   4600.0       1.1690       1.7645       338.00      0.50000       13.302       588.44       27.614      0.44238E-04
 16  0.66315E-05   27.394      0.10000E-02   4800.0       1.1690       1.7645       338.00      0.50000       15.163       642.39       30.166      0.42365E-04
 17  0.63662E-05   27.394      0.10000E-02   5000.0       1.1690       1.7645       338.00      0.50000       17.200       698.94       32.849      0.40637E-04
 18  0.61213E-05   27.394      0.10000E-02   5200.0       1.1690       1.7645       338.00      0.50000       19.421       758.15       35.664      0.39039E-04
 19  0.58946E-05   27.394      0.10000E-02   5400.0       1.1690       1.7645       338.00      0.50000       21.837       820.07       38.616      0.37554E-04
 20  0.56841E-05   27.394      0.10000E-02   5600.0       1.1690       1.7645       338.00      0.50000       24.460       884.75       41.709      0.36172E-04
 21  0.54881E-05   27.394      0.10000E-02   5800.0       1.1690       1.7645       338.00      0.50000       27.300       952.24       44.948      0.34880E-04
 22  0.53052E-05   27.394      0.10000E-02   6000.0       1.1690       1.7645       338.00      0.50000       30.370       1022.6       48.336      0.33672E-04
 23  0.51340E-05   27.394      0.10000E-02   6200.0       1.1690       1.7645       338.00      0.50000       33.684       1096.0       51.881      0.32536E-04
 24  0.49736E-05   27.394      0.10000E-02   6400.0       1.1690       1.7645       338.00      0.50000       37.259       1172.3       55.593      0.31464E-04
 25  0.48229E-05   27.394      0.10000E-02   6600.0       1.1690       1.7645       338.00      0.50000       41.119       1251.8       59.494      0.30442E-04
 26  0.46810E-05   27.394      0.10000E-02   6800.0       1.1690       1.7645       338.00      0.50000       45.297       1334.4       63.610      0.29458E-04
 27  0.45473E-05   27.394      0.10000E-02   7000.0       1.1690       1.7645       338.00      0.50000       49.833       1420.2       67.982      0.28499E-04
 28  0.44210E-05   27.394      0.10000E-02   7200.0       1.1690       1.7645       338.00      0.50000       54.783       1509.3       72.658      0.27551E-04
 29  0.43015E-05   27.394      0.10000E-02   7400.0       1.1690       1.7645       338.00      0.50000       60.213       1601.7       77.701      0.26601E-04
 30  0.41883E-05   27.394      0.10000E-02   7600.0       1.1690       1.7645       338.00      0.50000       66.207       1697.5       83.188      0.25640E-04
 31  0.40809E-05   27.394      0.10000E-02   7800.0       1.1690       1.7645       338.00      0.50000       72.870       1796.7       89.213      0.24657E-04
