Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.15915E-01   16.340       1.0000       2000.0       1.1690       1.7645       338.00      0.50000      0.29119       39.918       1.3903      0.13709    
  2  0.14469E-01   16.340       1.0000       2200.0       1.1690       1.7645       338.00      0.50000      0.38638       48.771       1.6771      0.12623    
  3  0.13263E-01   16.340       1.0000       2400.0       1.1690       1.7645       338.00      0.50000      0.50039       58.527       1.9910      0.11696    
  4  0.12243E-01   16.340       1.0000       2600.0       1.1690       1.7645       338.00      0.50000      0.63498       69.194       2.3322      0.10897    
  5  0.11368E-01   16.340       1.0000       2800.0       1.1690       1.7645       338.00      0.50000      0.79192       80.776       2.7008      0.10200    
  6  0.10610E-01   16.340       1.0000       3000.0       1.1690       1.7645       338.00      0.50000      0.97303       93.282       3.0973      0.95867E-01
  7  0.99472E-02   16.340       1.0000       3200.0       1.1690       1.7645       338.00      0.50000       1.1802       106.72       3.5218      0.90428E-01
  8  0.93621E-02   16.340       1.0000       3400.0       1.1690       1.7645       338.00      0.50000       1.4152       121.10       3.9747      0.85570E-01
  9  0.88419E-02   16.340       1.0000       3600.0       1.1690       1.7645       338.00      0.50000       1.6800       136.42       4.4563      0.81203E-01
 10  0.83766E-02   16.340       1.0000       3800.0       1.1690       1.7645       338.00      0.50000       1.9766       152.71       4.9671      0.77257E-01
 11  0.79577E-02   16.340       1.0000       4000.0       1.1690       1.7645       338.00      0.50000       2.3070       169.96       5.5075      0.73672E-01
 12  0.75788E-02   16.340       1.0000       4200.0       1.1690       1.7645       338.00      0.50000       2.6732       188.20       6.0780      0.70400E-01
 13  0.72343E-02   16.340       1.0000       4400.0       1.1690       1.7645       338.00      0.50000       3.0775       207.43       6.6790      0.67401E-01
 14  0.69198E-02   16.340       1.0000       4600.0       1.1690       1.7645       338.00      0.50000       3.5219       227.66       7.3113      0.64642E-01
 15  0.66315E-02   16.340       1.0000       4800.0       1.1690       1.7645       338.00      0.50000       4.0089       248.93       7.9754      0.62094E-01
 16  0.63662E-02   16.340       1.0000       5000.0       1.1690       1.7645       338.00      0.50000       4.5406       271.23       8.6719      0.59733E-01
 17  0.61213E-02   16.340       1.0000       5200.0       1.1690       1.7645       338.00      0.50000       5.1196       294.58       9.4017      0.57540E-01
 18  0.58946E-02   16.340       1.0000       5400.0       1.1690       1.7645       338.00      0.50000       5.7485       319.02       10.166      0.55496E-01
 19  0.56841E-02   16.340       1.0000       5600.0       1.1690       1.7645       338.00      0.50000       6.4299       344.55       10.964      0.53585E-01
 20  0.54881E-02   16.340       1.0000       5800.0       1.1690       1.7645       338.00      0.50000       7.1665       371.19       11.799      0.51796E-01
 21  0.53052E-02   16.340       1.0000       6000.0       1.1690       1.7645       338.00      0.50000       7.9613       398.99       12.671      0.50115E-01
 22  0.51340E-02   16.340       1.0000       6200.0       1.1690       1.7645       338.00      0.50000       8.8175       427.95       13.581      0.48534E-01
 23  0.49736E-02   16.340       1.0000       6400.0       1.1690       1.7645       338.00      0.50000       9.7381       458.10       14.530      0.47042E-01
 24  0.48229E-02   16.340       1.0000       6600.0       1.1690       1.7645       338.00      0.50000       10.727       489.49       15.520      0.45633E-01
 25  0.46810E-02   16.340       1.0000       6800.0       1.1690       1.7645       338.00      0.50000       11.787       522.15       16.553      0.44298E-01
 26  0.45473E-02   16.340       1.0000       7000.0       1.1690       1.7645       338.00      0.50000       12.923       556.11       17.630      0.43031E-01
