Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.10000       26.303       27.000       8594.4       1.1690       1.7645       338.00      0.50000       92.482       1414.6       102.76      0.41300    
  2  0.12000       26.303       27.000       7162.0       1.1690       1.7645       338.00      0.50000       45.996       879.11       61.328      0.51605    
  3  0.14000       26.303       27.000       6138.8       1.1690       1.7645       338.00      0.50000       27.640       584.22       42.996      0.57068    
  4  0.16000       26.303       27.000       5371.5       1.1690       1.7645       338.00      0.50000       17.927       408.16       31.870      0.61475    
  5  0.18000       26.303       27.000       4774.6       1.1690       1.7645       338.00      0.50000       12.228       295.33       24.455      0.65211    
  6  0.20000       26.303       27.000       4297.2       1.1690       1.7645       338.00      0.50000       8.6530       219.17       19.229      0.68387    
  7  0.22000       26.303       27.000       3906.5       1.1690       1.7645       338.00      0.50000       6.2931       165.68       15.383      0.71086    
  8  0.24000       26.303       27.000       3581.0       1.1690       1.7645       338.00      0.50000       4.6707       126.91       12.455      0.73363    
  9  0.26000       26.303       27.000       3305.5       1.1690       1.7645       338.00      0.50000       3.5178       98.055       10.163      0.75260    
 10  0.28000       26.303       27.000       3069.4       1.1690       1.7645       338.00      0.50000       2.6756       76.103       8.3242      0.76796    
 11  0.30000       26.303       27.000       2864.8       1.1690       1.7645       338.00      0.50000       2.0459       59.085       6.8198      0.77973    
 12  0.32000       26.303       27.000       2685.7       1.1690       1.7645       338.00      0.50000       1.5656       45.674       5.5666      0.78767    
 13  0.34000       26.303       27.000       2527.8       1.1690       1.7645       338.00      0.50000       1.1929       34.953       4.5063      0.79116    
 14  0.36000       26.303       27.000       2387.3       1.1690       1.7645       338.00      0.50000      0.89921       26.275       3.5968      0.78893    
 15  0.38000       26.303       27.000       2261.7       1.1690       1.7645       338.00      0.50000      0.66484       19.170       2.8071      0.77853    
 16  0.40000       26.303       27.000       2148.6       1.1690       1.7645       338.00      0.50000      0.47562       13.296       2.1139      0.75481    
