Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.15915E-04   26.920      0.10000E-02   2000.0       1.1690       1.7645       338.00      0.50000      0.57936       70.559       2.7662      0.12179E-03
  2  0.14469E-04   26.920      0.10000E-02   2200.0       1.1690       1.7645       338.00      0.50000      0.77005       85.452       3.3425      0.11097E-03
  3  0.13263E-04   26.920      0.10000E-02   2400.0       1.1690       1.7645       338.00      0.50000      0.99875       101.79       3.9739      0.10192E-03
  4  0.12243E-04   26.920      0.10000E-02   2600.0       1.1690       1.7645       338.00      0.50000       1.2690       119.58       4.6608      0.94230E-04
  5  0.11368E-04   26.920      0.10000E-02   2800.0       1.1690       1.7645       338.00      0.50000       1.5844       138.82       5.4037      0.87618E-04
  6  0.10610E-04   26.920      0.10000E-02   3000.0       1.1690       1.7645       338.00      0.50000       1.9487       159.54       6.2028      0.81869E-04
  7  0.99472E-05   26.920      0.10000E-02   3200.0       1.1690       1.7645       338.00      0.50000       2.3654       181.72       7.0588      0.76824E-04
  8  0.93621E-05   26.920      0.10000E-02   3400.0       1.1690       1.7645       338.00      0.50000       2.8384       205.39       7.9721      0.72360E-04
  9  0.88419E-05   26.920      0.10000E-02   3600.0       1.1690       1.7645       338.00      0.50000       3.3715       230.55       8.9432      0.68382E-04
 10  0.83766E-05   26.920      0.10000E-02   3800.0       1.1690       1.7645       338.00      0.50000       3.9685       257.21       9.9727      0.64813E-04
 11  0.79577E-05   26.920      0.10000E-02   4000.0       1.1690       1.7645       338.00      0.50000       4.6333       285.38       11.061      0.61592E-04
 12  0.75788E-05   26.920      0.10000E-02   4200.0       1.1690       1.7645       338.00      0.50000       5.3699       315.06       12.209      0.58672E-04
 13  0.72343E-05   26.920      0.10000E-02   4400.0       1.1690       1.7645       338.00      0.50000       6.1824       346.28       13.418      0.56010E-04
 14  0.69198E-05   26.920      0.10000E-02   4600.0       1.1690       1.7645       338.00      0.50000       7.0748       379.03       14.687      0.53575E-04
 15  0.66315E-05   26.920      0.10000E-02   4800.0       1.1690       1.7645       338.00      0.50000       8.0513       413.33       16.018      0.51338E-04
 16  0.63662E-05   26.920      0.10000E-02   5000.0       1.1690       1.7645       338.00      0.50000       9.1161       449.19       17.410      0.49275E-04
 17  0.61213E-05   26.920      0.10000E-02   5200.0       1.1690       1.7645       338.00      0.50000       10.273       486.62       18.866      0.47367E-04
 18  0.58946E-05   26.920      0.10000E-02   5400.0       1.1690       1.7645       338.00      0.50000       11.528       525.62       20.385      0.45596E-04
 19  0.56841E-05   26.920      0.10000E-02   5600.0       1.1690       1.7645       338.00      0.50000       12.883       566.19       21.968      0.43949E-04
 20  0.54881E-05   26.920      0.10000E-02   5800.0       1.1690       1.7645       338.00      0.50000       14.345       608.35       23.618      0.42408E-04
 21  0.53052E-05   26.920      0.10000E-02   6000.0       1.1690       1.7645       338.00      0.50000       15.921       652.08       25.340      0.40956E-04
 22  0.51340E-05   26.920      0.10000E-02   6200.0       1.1690       1.7645       338.00      0.50000       17.622       697.38       27.141      0.39575E-04
 23  0.49736E-05   26.920      0.10000E-02   6400.0       1.1690       1.7645       338.00      0.50000       19.460       744.23       29.035      0.38244E-04
 24  0.48229E-05   26.920      0.10000E-02   6600.0       1.1690       1.7645       338.00      0.50000       21.451       792.60       31.037      0.36949E-04
 25  0.46810E-05   26.920      0.10000E-02   6800.0       1.1690       1.7645       338.00      0.50000       23.615       842.46       33.163      0.35674E-04
 26  0.45473E-05   26.920      0.10000E-02   7000.0       1.1690       1.7645       338.00      0.50000       25.977       893.76       35.437      0.34406E-04
 27  0.44210E-05   26.920      0.10000E-02   7200.0       1.1690       1.7645       338.00      0.50000       28.563       946.44       37.883      0.33136E-04
 28  0.43015E-05   26.920      0.10000E-02   7400.0       1.1690       1.7645       338.00      0.50000       31.406       1000.5       40.528      0.31855E-04
