Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.50000E-01   26.833       27.000       17189.       1.1690       1.7645       338.00      0.50000       1392.3       6204.9       773.52      0.12033    
  2  0.75000E-01   26.833       27.000       11459.       1.1690       1.7645       338.00      0.50000       398.27       3312.3       331.89      0.22455    
  3  0.10000       26.833       27.000       8594.4       1.1690       1.7645       338.00      0.50000       136.11       1983.2       151.24      0.39339    
  4  0.12500       26.833       27.000       6875.5       1.1690       1.7645       338.00      0.50000       62.259       1120.2       86.471      0.48579    
  5  0.15000       26.833       27.000       5729.6       1.1690       1.7645       338.00      0.50000       34.481       701.77       57.468      0.54952    
  6  0.17500       26.833       27.000       4911.1       1.1690       1.7645       338.00      0.50000       20.980       468.85       40.795      0.60337    
  7  0.20000       26.833       27.000       4297.2       1.1690       1.7645       338.00      0.50000       13.600       327.02       30.221      0.64924    
  8  0.22500       26.833       27.000       3819.7       1.1690       1.7645       338.00      0.50000       9.2192       235.05       23.048      0.68839    
  9  0.25000       26.833       27.000       3437.7       1.1690       1.7645       338.00      0.50000       6.4546       172.53       17.929      0.72172    
 10  0.27500       26.833       27.000       3125.2       1.1690       1.7645       338.00      0.50000       4.6240       128.42       14.129      0.74985    
 11  0.30000       26.833       27.000       2864.8       1.1690       1.7645       338.00      0.50000       3.3642       96.335       11.214      0.77315    
 12  0.32500       26.833       27.000       2644.4       1.1690       1.7645       338.00      0.50000       2.4694       72.405       8.9171      0.79168    
 13  0.35000       26.833       27.000       2455.5       1.1690       1.7645       338.00      0.50000       1.8166       54.170       7.0646      0.80512    
 14  0.37500       26.833       27.000       2291.8       1.1690       1.7645       338.00      0.50000       1.3297       40.018       5.5403      0.81259    
 15  0.40000       26.833       27.000       2148.6       1.1690       1.7645       338.00      0.50000      0.95939       28.858       4.2640      0.81213    
 16  0.42500       26.833       27.000       2022.2       1.1690       1.7645       338.00      0.50000      0.67312       19.931       3.1786      0.79946    
 17  0.45000       26.833       27.000       1909.9       1.1690       1.7645       338.00      0.50000      0.44861       12.702       2.2431      0.76450    
 18  0.47500       26.833       27.000       1809.3       1.1690       1.7645       338.00      0.50000      0.27035       6.7842       1.4269      0.67754    
 19  0.50000       26.833       27.000       1718.9       1.1690       1.7645       338.00      0.50000      0.12730       1.8917      0.70720      0.40124    
