Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.15915E-04   27.408      0.10000E-02   2000.0       1.1690       1.7645       338.00      0.50000       1.0832       107.13       5.1718      0.98899E-04
  2  0.14469E-04   27.408      0.10000E-02   2200.0       1.1690       1.7645       338.00      0.50000       1.4415       129.78       6.2568      0.90033E-04
  3  0.13263E-04   27.408      0.10000E-02   2400.0       1.1690       1.7645       338.00      0.50000       1.8717       154.65       7.4473      0.82623E-04
  4  0.12243E-04   27.408      0.10000E-02   2600.0       1.1690       1.7645       338.00      0.50000       2.3809       181.74       8.7446      0.76334E-04
  5  0.11368E-04   27.408      0.10000E-02   2800.0       1.1690       1.7645       338.00      0.50000       2.9760       211.09       10.150      0.70930E-04
  6  0.10610E-04   27.408      0.10000E-02   3000.0       1.1690       1.7645       338.00      0.50000       3.6642       242.70       11.664      0.66234E-04
  7  0.99472E-05   27.408      0.10000E-02   3200.0       1.1690       1.7645       338.00      0.50000       4.4529       276.59       13.288      0.62115E-04
  8  0.93621E-05   27.408      0.10000E-02   3400.0       1.1690       1.7645       338.00      0.50000       5.3494       312.79       15.024      0.58472E-04
  9  0.88419E-05   27.408      0.10000E-02   3600.0       1.1690       1.7645       338.00      0.50000       6.3615       351.32       16.874      0.55226E-04
 10  0.83766E-05   27.408      0.10000E-02   3800.0       1.1690       1.7645       338.00      0.50000       7.4970       392.20       18.840      0.52315E-04
 11  0.79577E-05   27.408      0.10000E-02   4000.0       1.1690       1.7645       338.00      0.50000       8.7640       435.47       20.923      0.49689E-04
 12  0.75788E-05   27.408      0.10000E-02   4200.0       1.1690       1.7645       338.00      0.50000       10.170       481.18       23.122      0.47315E-04
 13  0.72343E-05   27.408      0.10000E-02   4400.0       1.1690       1.7645       338.00      0.50000       11.729       529.36       25.456      0.45132E-04
 14  0.69198E-05   27.408      0.10000E-02   4600.0       1.1690       1.7645       338.00      0.50000       13.442       579.98       27.905      0.43147E-04
 15  0.66315E-05   27.408      0.10000E-02   4800.0       1.1690       1.7645       338.00      0.50000       15.318       633.02       30.473      0.41326E-04
 16  0.63662E-05   27.408      0.10000E-02   5000.0       1.1690       1.7645       338.00      0.50000       17.371       688.73       33.175      0.39649E-04
 17  0.61213E-05   27.408      0.10000E-02   5200.0       1.1690       1.7645       338.00      0.50000       19.611       747.02       36.014      0.38091E-04
 18  0.58946E-05   27.408      0.10000E-02   5400.0       1.1690       1.7645       338.00      0.50000       22.056       808.03       39.004      0.36635E-04
 19  0.56841E-05   27.408      0.10000E-02   5600.0       1.1690       1.7645       338.00      0.50000       24.701       871.67       42.121      0.35289E-04
 20  0.54881E-05   27.408      0.10000E-02   5800.0       1.1690       1.7645       338.00      0.50000       27.564       938.06       45.383      0.34032E-04
 21  0.53052E-05   27.408      0.10000E-02   6000.0       1.1690       1.7645       338.00      0.50000       30.658       1007.3       48.794      0.32855E-04
 22  0.51340E-05   27.408      0.10000E-02   6200.0       1.1690       1.7645       338.00      0.50000       33.997       1079.3       52.362      0.31748E-04
 23  0.49736E-05   27.408      0.10000E-02   6400.0       1.1690       1.7645       338.00      0.50000       37.601       1154.3       56.103      0.30700E-04
 24  0.48229E-05   27.408      0.10000E-02   6600.0       1.1690       1.7645       338.00      0.50000       41.496       1232.3       60.040      0.29697E-04
 25  0.46810E-05   27.408      0.10000E-02   6800.0       1.1690       1.7645       338.00      0.50000       45.705       1313.2       64.183      0.28732E-04
 26  0.45473E-05   27.408      0.10000E-02   7000.0       1.1690       1.7645       338.00      0.50000       50.298       1397.3       68.615      0.27780E-04
