Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.17684E-01   25.304       1.0000       1800.0       1.1690       1.7645       338.00      0.50000      0.58499       67.219       3.1034      0.11491    
  2  0.15915E-01   25.304       1.0000       2000.0       1.1690       1.7645       338.00      0.50000      0.80153       83.679       3.8270      0.10440    
  3  0.14469E-01   25.304       1.0000       2200.0       1.1690       1.7645       338.00      0.50000       1.0661       101.97       4.6277      0.95646E-01
  4  0.13263E-01   25.304       1.0000       2400.0       1.1690       1.7645       338.00      0.50000       1.3838       122.11       5.5061      0.88242E-01
  5  0.12243E-01   25.304       1.0000       2600.0       1.1690       1.7645       338.00      0.50000       1.7597       144.11       6.4629      0.81896E-01
  6  0.11368E-01   25.304       1.0000       2800.0       1.1690       1.7645       338.00      0.50000       2.1988       167.98       7.4990      0.76395E-01
  7  0.10610E-01   25.304       1.0000       3000.0       1.1690       1.7645       338.00      0.50000       2.7066       193.74       8.6155      0.71580E-01
  8  0.99472E-02   25.304       1.0000       3200.0       1.1690       1.7645       338.00      0.50000       3.2884       221.41       9.8132      0.67328E-01
  9  0.93621E-02   25.304       1.0000       3400.0       1.1690       1.7645       338.00      0.50000       3.9498       251.00       11.093      0.63547E-01
 10  0.88419E-02   25.304       1.0000       3600.0       1.1690       1.7645       338.00      0.50000       4.6963       282.53       12.457      0.60161E-01
 11  0.83766E-02   25.304       1.0000       3800.0       1.1690       1.7645       338.00      0.50000       5.5338       316.04       13.906      0.57110E-01
 12  0.79577E-02   25.304       1.0000       4000.0       1.1690       1.7645       338.00      0.50000       6.4683       351.53       15.442      0.54347E-01
 13  0.75788E-02   25.304       1.0000       4200.0       1.1690       1.7645       338.00      0.50000       7.5060       389.05       17.066      0.51832E-01
 14  0.72343E-02   25.304       1.0000       4400.0       1.1690       1.7645       338.00      0.50000       8.6532       428.61       18.780      0.49532E-01
 15  0.69198E-02   25.304       1.0000       4600.0       1.1690       1.7645       338.00      0.50000       9.9165       470.25       20.586      0.47421E-01
 16  0.66315E-02   25.304       1.0000       4800.0       1.1690       1.7645       338.00      0.50000       11.303       514.00       22.486      0.45475E-01
 17  0.63662E-02   25.304       1.0000       5000.0       1.1690       1.7645       338.00      0.50000       12.819       559.89       24.483      0.43676E-01
 18  0.61213E-02   25.304       1.0000       5200.0       1.1690       1.7645       338.00      0.50000       14.473       607.97       26.579      0.42006E-01
 19  0.58946E-02   25.304       1.0000       5400.0       1.1690       1.7645       338.00      0.50000       16.273       658.28       28.777      0.40453E-01
 20  0.56841E-02   25.304       1.0000       5600.0       1.1690       1.7645       338.00      0.50000       18.226       710.86       31.079      0.39003E-01
 21  0.54881E-02   25.304       1.0000       5800.0       1.1690       1.7645       338.00      0.50000       20.341       765.77       33.490      0.37647E-01
 22  0.53052E-02   25.304       1.0000       6000.0       1.1690       1.7645       338.00      0.50000       22.627       823.05       36.012      0.36375E-01
 23  0.51340E-02   25.304       1.0000       6200.0       1.1690       1.7645       338.00      0.50000       25.094       882.76       38.650      0.35178E-01
 24  0.49736E-02   25.304       1.0000       6400.0       1.1690       1.7645       338.00      0.50000       27.754       944.98       41.411      0.34048E-01
 25  0.48229E-02   25.304       1.0000       6600.0       1.1690       1.7645       338.00      0.50000       30.624       1009.8       44.309      0.32973E-01
 26  0.46810E-02   25.304       1.0000       6800.0       1.1690       1.7645       338.00      0.50000       33.727       1077.1       47.363      0.31938E-01
 27  0.45473E-02   25.304       1.0000       7000.0       1.1690       1.7645       338.00      0.50000       37.092       1147.2       50.601      0.30929E-01
 28  0.44210E-02   25.304       1.0000       7200.0       1.1690       1.7645       338.00      0.50000       40.760       1220.0       54.060      0.29932E-01
 29  0.43015E-02   25.304       1.0000       7400.0       1.1690       1.7645       338.00      0.50000       44.781       1295.6       57.787      0.28933E-01
 30  0.41883E-02   25.304       1.0000       7600.0       1.1690       1.7645       338.00      0.50000       49.216       1374.1       61.840      0.27919E-01
 31  0.40809E-02   25.304       1.0000       7800.0       1.1690       1.7645       338.00      0.50000       54.146       1455.4       66.289      0.26880E-01
 32  0.39789E-02   25.304       1.0000       8000.0       1.1690       1.7645       338.00      0.50000       59.666       1539.7       71.221      0.25806E-01
 33  0.38818E-02   25.304       1.0000       8200.0       1.1690       1.7645       338.00      0.50000       65.873       1626.8       76.712      0.24696E-01
 34  0.37894E-02   25.304       1.0000       8400.0       1.1690       1.7645       338.00      0.50000       72.791       1715.7       82.750      0.23571E-01
 35  0.37013E-02   25.304       1.0000       8600.0       1.1690       1.7645       338.00      0.50000       80.212       1804.0       89.066      0.22491E-01
 36  0.36172E-02   25.304       1.0000       8800.0       1.1690       1.7645       338.00      0.50000       87.734       1888.4       95.204      0.21524E-01
