Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.42972       20.481       27.000       2000.0       1.1690       1.7645       338.00      0.50000     -0.18969      -8.7603     -0.90570       1.2469    
  2  0.39065       20.481       27.000       2200.0       1.1690       1.7645       338.00      0.50000     -0.13715      -6.9865     -0.59532       1.3754    
  3  0.35810       20.481       27.000       2400.0       1.1690       1.7645       338.00      0.50000     -0.42105E-01  -3.7438     -0.16753       2.4007    
  4  0.33055       20.481       27.000       2600.0       1.1690       1.7645       338.00      0.50000      0.77913E-01  0.25783      0.28616      0.89349E-01
  5  0.30694       20.481       27.000       2800.0       1.1690       1.7645       338.00      0.50000      0.22016       4.8810      0.75085      0.59860    
  6  0.28648       20.481       27.000       3000.0       1.1690       1.7645       338.00      0.50000      0.38521       10.116       1.2262      0.70907    
  7  0.26857       20.481       27.000       3200.0       1.1690       1.7645       338.00      0.50000      0.57438       15.979       1.7140      0.75113    
  8  0.25278       20.481       27.000       3400.0       1.1690       1.7645       338.00      0.50000      0.78916       22.488       2.2165      0.76940    
  9  0.23873       20.481       27.000       3600.0       1.1690       1.7645       338.00      0.50000       1.0312       29.665       2.7353      0.77673    
 10  0.22617       20.481       27.000       3800.0       1.1690       1.7645       338.00      0.50000       1.3022       37.531       3.2723      0.77819    
 11  0.21486       20.481       27.000       4000.0       1.1690       1.7645       338.00      0.50000       1.6039       46.108       3.8291      0.77616    
 12  0.20463       20.481       27.000       4200.0       1.1690       1.7645       338.00      0.50000       1.9384       55.420       4.4072      0.77194    
 13  0.19533       20.481       27.000       4400.0       1.1690       1.7645       338.00      0.50000       2.3076       65.488       5.0081      0.76625    
 14  0.18683       20.481       27.000       4600.0       1.1690       1.7645       338.00      0.50000       2.7135       76.337       5.6330      0.75957    
 15  0.17905       20.481       27.000       4800.0       1.1690       1.7645       338.00      0.50000       3.1584       88.001       6.2835      0.75228    
 16  0.17189       20.481       27.000       5000.0       1.1690       1.7645       338.00      0.50000       3.6447       100.48       6.9608      0.74434    
 17  0.16528       20.481       27.000       5200.0       1.1690       1.7645       338.00      0.50000       4.1746       113.82       7.6663      0.73613    
 18  0.15915       20.481       27.000       5400.0       1.1690       1.7645       338.00      0.50000       4.7509       128.04       8.4014      0.72768    
 19  0.15347       20.481       27.000       5600.0       1.1690       1.7645       338.00      0.50000       5.3761       143.18       9.1674      0.71907    
 20  0.14818       20.481       27.000       5800.0       1.1690       1.7645       338.00      0.50000       6.0530       159.25       9.9659      0.71035    
 21  0.14324       20.481       27.000       6000.0       1.1690       1.7645       338.00      0.50000       6.7848       176.30       10.798      0.70157    
