Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.17684E-04   27.390      0.10000E-02   1800.0       1.1690       1.7645       338.00      0.50000      0.77979       87.677       4.1369      0.11244E-03
  2  0.15915E-04   27.390      0.10000E-02   2000.0       1.1690       1.7645       338.00      0.50000       1.0690       108.37       5.1041      0.10137E-03
  3  0.14469E-04   27.390      0.10000E-02   2200.0       1.1690       1.7645       338.00      0.50000       1.4225       131.29       6.1746      0.92291E-04
  4  0.13263E-04   27.390      0.10000E-02   2400.0       1.1690       1.7645       338.00      0.50000       1.8471       156.45       7.3494      0.84699E-04
  5  0.12243E-04   27.390      0.10000E-02   2600.0       1.1690       1.7645       338.00      0.50000       2.3495       183.86       8.6294      0.78255E-04
  6  0.11368E-04   27.390      0.10000E-02   2800.0       1.1690       1.7645       338.00      0.50000       2.9368       213.55       10.016      0.72717E-04
  7  0.10610E-04   27.390      0.10000E-02   3000.0       1.1690       1.7645       338.00      0.50000       3.6159       245.54       11.510      0.67904E-04
  8  0.99472E-05   27.390      0.10000E-02   3200.0       1.1690       1.7645       338.00      0.50000       4.3942       279.83       13.113      0.63683E-04
  9  0.93621E-05   27.390      0.10000E-02   3400.0       1.1690       1.7645       338.00      0.50000       5.2790       316.47       14.827      0.59948E-04
 10  0.88419E-05   27.390      0.10000E-02   3600.0       1.1690       1.7645       338.00      0.50000       6.2779       355.46       16.653      0.56621E-04
 11  0.83766E-05   27.390      0.10000E-02   3800.0       1.1690       1.7645       338.00      0.50000       7.3987       396.84       18.593      0.53637E-04
 12  0.79577E-05   27.390      0.10000E-02   4000.0       1.1690       1.7645       338.00      0.50000       8.6494       440.64       20.649      0.50944E-04
 13  0.75788E-05   27.390      0.10000E-02   4200.0       1.1690       1.7645       338.00      0.50000       10.038       486.88       22.824      0.48503E-04
 14  0.72343E-05   27.390      0.10000E-02   4400.0       1.1690       1.7645       338.00      0.50000       11.574       535.61       25.119      0.46277E-04
 15  0.69198E-05   27.390      0.10000E-02   4600.0       1.1690       1.7645       338.00      0.50000       13.265       586.86       27.538      0.44241E-04
 16  0.66315E-05   27.390      0.10000E-02   4800.0       1.1690       1.7645       338.00      0.50000       15.121       640.66       30.082      0.42369E-04
 17  0.63662E-05   27.390      0.10000E-02   5000.0       1.1690       1.7645       338.00      0.50000       17.151       697.06       32.757      0.40642E-04
 18  0.61213E-05   27.390      0.10000E-02   5200.0       1.1690       1.7645       338.00      0.50000       19.366       756.12       35.563      0.39044E-04
 19  0.58946E-05   27.390      0.10000E-02   5400.0       1.1690       1.7645       338.00      0.50000       21.775       817.87       38.507      0.37560E-04
 20  0.56841E-05   27.390      0.10000E-02   5600.0       1.1690       1.7645       338.00      0.50000       24.390       882.37       41.590      0.36178E-04
 21  0.54881E-05   27.390      0.10000E-02   5800.0       1.1690       1.7645       338.00      0.50000       27.221       949.68       44.818      0.34887E-04
 22  0.53052E-05   27.390      0.10000E-02   6000.0       1.1690       1.7645       338.00      0.50000       30.282       1019.9       48.196      0.33679E-04
 23  0.51340E-05   27.390      0.10000E-02   6200.0       1.1690       1.7645       338.00      0.50000       33.586       1093.0       51.729      0.32544E-04
 24  0.49736E-05   27.390      0.10000E-02   6400.0       1.1690       1.7645       338.00      0.50000       37.150       1169.2       55.430      0.31472E-04
 25  0.48229E-05   27.390      0.10000E-02   6600.0       1.1690       1.7645       338.00      0.50000       40.998       1248.4       59.319      0.30450E-04
 26  0.46810E-05   27.390      0.10000E-02   6800.0       1.1690       1.7645       338.00      0.50000       45.163       1330.8       63.423      0.29466E-04
 27  0.45473E-05   27.390      0.10000E-02   7000.0       1.1690       1.7645       338.00      0.50000       49.687       1416.4       67.783      0.28506E-04
 28  0.44210E-05   27.390      0.10000E-02   7200.0       1.1690       1.7645       338.00      0.50000       54.623       1505.2       72.446      0.27556E-04
 29  0.43015E-05   27.390      0.10000E-02   7400.0       1.1690       1.7645       338.00      0.50000       60.039       1597.4       77.477      0.26606E-04
 30  0.41883E-05   27.390      0.10000E-02   7600.0       1.1690       1.7645       338.00      0.50000       66.018       1692.9       82.951      0.25643E-04
 31  0.40809E-05   27.390      0.10000E-02   7800.0       1.1690       1.7645       338.00      0.50000       72.666       1791.8       88.962      0.24659E-04
 32  0.39789E-05   27.390      0.10000E-02   8000.0       1.1690       1.7645       338.00      0.50000       80.108       1894.2       95.622      0.23645E-04
 33  0.38818E-05   27.390      0.10000E-02   8200.0       1.1690       1.7645       338.00      0.50000       88.436       1999.4       102.99      0.22608E-04
 34  0.37894E-05   27.390      0.10000E-02   8400.0       1.1690       1.7645       338.00      0.50000       97.585       2105.7       110.94      0.21578E-04
 35  0.37013E-05   27.390      0.10000E-02   8600.0       1.1690       1.7645       338.00      0.50000       107.08       2209.1       118.90      0.20631E-04
 36  0.36172E-05   27.390      0.10000E-02   8800.0       1.1690       1.7645       338.00      0.50000    
 37  0.35368E-05   27.390      0.10000E-02   9000.0       1.1690       1.7645       338.00      0.50000       126.11       2399.6       133.80      0.19028E-04
