Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.10000       25.299       27.000       8594.4       1.1690       1.7645       338.00      0.50000       79.762       1265.6       88.625      0.42842    
  2  0.12000       25.299       27.000       7162.0       1.1690       1.7645       338.00      0.50000       39.605       781.34       52.806      0.53267    
  3  0.14000       25.299       27.000       6138.8       1.1690       1.7645       338.00      0.50000       23.782       516.98       36.995      0.58693    
  4  0.16000       25.299       27.000       5371.5       1.1690       1.7645       338.00      0.50000       15.396       359.56       27.370      0.63058    
  5  0.18000       25.299       27.000       4774.6       1.1690       1.7645       338.00      0.50000       10.476       258.88       20.951      0.66724    
  6  0.20000       25.299       27.000       4297.2       1.1690       1.7645       338.00      0.50000       7.3895       191.06       16.421      0.69808    
  7  0.22000       25.299       27.000       3906.5       1.1690       1.7645       338.00      0.50000       5.3520       143.50       13.083      0.72392    
  8  0.24000       25.299       27.000       3581.0       1.1690       1.7645       338.00      0.50000       3.9511       109.07       10.536      0.74532    
  9  0.26000       25.299       27.000       3305.5       1.1690       1.7645       338.00      0.50000       2.9555       83.480       8.5381      0.76263    
 10  0.28000       25.299       27.000       3069.4       1.1690       1.7645       338.00      0.50000       2.2281       64.035       6.9320      0.77596    
 11  0.30000       25.299       27.000       2864.8       1.1690       1.7645       338.00      0.50000       1.6842       48.976       5.6141      0.78513    
 12  0.32000       25.299       27.000       2685.7       1.1690       1.7645       338.00      0.50000       1.2693       37.120       4.5132      0.78957    
 13  0.34000       25.299       27.000       2527.8       1.1690       1.7645       338.00      0.50000      0.94739       27.651       3.5790      0.78805    
 14  0.36000       25.299       27.000       2387.3       1.1690       1.7645       338.00      0.50000      0.69383       19.994       2.7753      0.77805    
 15  0.38000       25.299       27.000       2261.7       1.1690       1.7645       338.00      0.50000      0.49153       13.731       2.0754      0.75427    
 16  0.40000       25.299       27.000       2148.6       1.1690       1.7645       338.00      0.50000      0.32830       8.5592       1.4591      0.70392    
