Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.42972       25.304       27.000       2000.0       1.1690       1.7645       338.00      0.50000      0.13904       2.4723      0.66388      0.48008    
  2  0.39065       25.304       27.000       2200.0       1.1690       1.7645       338.00      0.50000      0.40036       10.942       1.7378      0.73792    
  3  0.35810       25.304       27.000       2400.0       1.1690       1.7645       338.00      0.50000      0.71623       20.775       2.8498      0.78317    
  4  0.33055       25.304       27.000       2600.0       1.1690       1.7645       338.00      0.50000       1.0913       32.025       4.0080      0.79237    
  5  0.30694       25.304       27.000       2800.0       1.1690       1.7645       338.00      0.50000       1.5304       44.746       5.2194      0.78944    
  6  0.28648       25.304       27.000       3000.0       1.1690       1.7645       338.00      0.50000       2.0389       58.992       6.4899      0.78122    
  7  0.26857       25.304       27.000       3200.0       1.1690       1.7645       338.00      0.50000       2.6220       74.815       7.8245      0.77039    
  8  0.25278       25.304       27.000       3400.0       1.1690       1.7645       338.00      0.50000       3.2855       92.262       9.2277      0.75820    
  9  0.23873       25.304       27.000       3600.0       1.1690       1.7645       338.00      0.50000       4.0351       111.38       10.703      0.74529    
 10  0.22617       25.304       27.000       3800.0       1.1690       1.7645       338.00      0.50000       4.8766       132.22       12.255      0.73204    
 11  0.21486       25.304       27.000       4000.0       1.1690       1.7645       338.00      0.50000       5.8164       154.82       13.886      0.71868    
 12  0.20463       25.304       27.000       4200.0       1.1690       1.7645       338.00      0.50000       6.8606       179.23       15.598      0.70535    
 13  0.19533       25.304       27.000       4400.0       1.1690       1.7645       338.00      0.50000       8.0158       205.48       17.397      0.69214    
 14  0.18683       25.304       27.000       4600.0       1.1690       1.7645       338.00      0.50000       9.2889       233.64       19.283      0.67911    
 15  0.17905       25.304       27.000       4800.0       1.1690       1.7645       338.00      0.50000       10.687       263.73       21.261      0.66629    
 16  0.17189       25.304       27.000       5000.0       1.1690       1.7645       338.00      0.50000       12.217       295.80       23.333      0.65373    
 17  0.16528       25.304       27.000       5200.0       1.1690       1.7645       338.00      0.50000       13.887       329.91       25.503      0.64142    
 18  0.15915       25.304       27.000       5400.0       1.1690       1.7645       338.00      0.50000       15.705       366.10       27.773      0.62939    
 19  0.15347       25.304       27.000       5600.0       1.1690       1.7645       338.00      0.50000       17.680       404.43       30.148      0.61762    
 20  0.14818       25.304       27.000       5800.0       1.1690       1.7645       338.00      0.50000       19.820       444.94       32.632      0.60613    
 21  0.14324       25.304       27.000       6000.0       1.1690       1.7645       338.00      0.50000       22.134       487.70       35.227      0.59492    
 22  0.13862       25.304       27.000       6200.0       1.1690       1.7645       338.00      0.50000       24.633       532.77       37.940      0.58396    
 23  0.13429       25.304       27.000       6400.0       1.1690       1.7645       338.00      0.50000       27.327       580.21       40.774      0.57326    
 24  0.13022       25.304       27.000       6600.0       1.1690       1.7645       338.00      0.50000       30.231       630.10       43.740      0.56276    
 25  0.12639       25.304       27.000       6800.0       1.1690       1.7645       338.00      0.50000       33.364       682.50       46.853      0.55232    
 26  0.12278       25.304       27.000       7000.0       1.1690       1.7645       338.00      0.50000       36.756       737.48       50.142      0.54174    
 27  0.11937       25.304       27.000       7200.0       1.1690       1.7645       338.00      0.50000       40.444       795.10       53.641      0.53079    
 28  0.11614       25.304       27.000       7400.0       1.1690       1.7645       338.00      0.50000       44.480       855.41       57.399      0.51924    
 29  0.11308       25.304       27.000       7600.0       1.1690       1.7645       338.00      0.50000       48.927       918.46       61.477      0.50684    
 30  0.11018       25.304       27.000       7800.0       1.1690       1.7645       338.00      0.50000       53.866       984.30       65.946      0.49338    
 31  0.10743       25.304       27.000       8000.0       1.1690       1.7645       338.00      0.50000       59.396       1053.0       70.898      0.47866    
 32  0.10481       25.304       27.000       8200.0       1.1690       1.7645       338.00      0.50000       65.622       1124.4       76.420      0.46263    
 33  0.10231       25.304       27.000       8400.0       1.1690       1.7645       338.00      0.50000       72.601       1197.9       82.534      0.44551    
 34  0.99934E-01   25.304       27.000       8600.0       1.1690       1.7645       338.00      0.50000       80.199       1272.0       89.052      0.42823    
 35  0.97663E-01   25.304       27.000       8800.0       1.1690       1.7645       338.00      0.50000       87.962       1343.4       95.452      0.41235    
 36  0.95493E-01   25.304       27.000       9000.0       1.1690       1.7645       338.00      0.50000       95.765       1411.3       101.61      0.39790    
