Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.15915E-01   20.862       2.0000       4000.0       1.1690       1.7645       338.00      0.50000       2.2160       159.49       5.2904      0.14394    
  2  0.31831E-01   20.862       4.0000       4000.0       1.1690       1.7645       338.00      0.50000       2.2178       145.84       5.2946      0.26304    
  3  0.47746E-01   20.862       6.0000       4000.0       1.1690       1.7645       338.00      0.50000       2.2193       133.79       5.2982      0.36170    
  4  0.63662E-01   20.862       8.0000       4000.0       1.1690       1.7645       338.00      0.50000       2.2183       123.01       5.2958      0.44360    
  5  0.79577E-01   20.862       10.000       4000.0       1.1690       1.7645       338.00      0.50000       2.2126       113.24       5.2823      0.51179    
  6  0.95492E-01   20.862       12.000       4000.0       1.1690       1.7645       338.00      0.50000       2.2005       104.29       5.2534      0.56870    
  7  0.11141       20.862       14.000       4000.0       1.1690       1.7645       338.00      0.50000       2.1805       95.986       5.2055      0.61628    
  8  0.12732       20.862       16.000       4000.0       1.1690       1.7645       338.00      0.50000       2.1512       88.209       5.1357      0.65606    
  9  0.14324       20.862       18.000       4000.0       1.1690       1.7645       338.00      0.50000       2.1115       80.850       5.0407      0.68924    
 10  0.15915       20.862       20.000       4000.0       1.1690       1.7645       338.00      0.50000       2.0599       73.820       4.9177      0.71672    
 11  0.17507       20.862       22.000       4000.0       1.1690       1.7645       338.00      0.50000       1.9953       67.039       4.7633      0.73918    
 12  0.19098       20.862       24.000       4000.0       1.1690       1.7645       338.00      0.50000       1.9161       60.443       4.5742      0.75709    
 13  0.20690       20.862       26.000       4000.0       1.1690       1.7645       338.00      0.50000       1.8210       53.975       4.3472      0.77066    
 14  0.22282       20.862       28.000       4000.0       1.1690       1.7645       338.00      0.50000       1.7086       47.587       4.0789      0.77984    
 15  0.23873       20.862       30.000       4000.0       1.1690       1.7645       338.00      0.50000       1.5776       41.239       3.7663      0.78420    
