Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.21221E-04   31.531      0.10000E-02   1800.0       1.1690       1.7645       338.00      0.50000      0.44537       52.888       2.3627      0.11875E-03
  2  0.19099E-04   31.531      0.10000E-02   2000.0       1.1690       1.7645       338.00      0.50000      0.61034       65.349       2.9142      0.10707E-03
  3  0.17362E-04   31.531      0.10000E-02   2200.0       1.1690       1.7645       338.00      0.50000      0.81186       79.142       3.5240      0.97482E-04
  4  0.15915E-04   31.531      0.10000E-02   2400.0       1.1690       1.7645       338.00      0.50000       1.0537       94.271       4.1924      0.89469E-04
  5  0.14691E-04   31.531      0.10000E-02   2600.0       1.1690       1.7645       338.00      0.50000       1.3396       110.74       4.9199      0.82671E-04
  6  0.13642E-04   31.531      0.10000E-02   2800.0       1.1690       1.7645       338.00      0.50000       1.6733       128.56       5.7069      0.76831E-04
  7  0.12732E-04   31.531      0.10000E-02   3000.0       1.1690       1.7645       338.00      0.50000       2.0589       147.74       6.5536      0.71757E-04
  8  0.11937E-04   31.531      0.10000E-02   3200.0       1.1690       1.7645       338.00      0.50000       2.5001       168.28       7.4608      0.67309E-04
  9  0.11234E-04   31.531      0.10000E-02   3400.0       1.1690       1.7645       338.00      0.50000       3.0010       190.19       8.4288      0.63375E-04
 10  0.10610E-04   31.531      0.10000E-02   3600.0       1.1690       1.7645       338.00      0.50000       3.5657       213.48       9.4582      0.59872E-04
 11  0.10052E-04   31.531      0.10000E-02   3800.0       1.1690       1.7645       338.00      0.50000       4.1981       238.17       10.550      0.56732E-04
 12  0.95493E-05   31.531      0.10000E-02   4000.0       1.1690       1.7645       338.00      0.50000       4.9025       264.25       11.704      0.53900E-04
 13  0.90946E-05   31.531      0.10000E-02   4200.0       1.1690       1.7645       338.00      0.50000       5.6832       291.74       12.922      0.51333E-04
 14  0.86812E-05   31.531      0.10000E-02   4400.0       1.1690       1.7645       338.00      0.50000       6.5445       320.65       14.204      0.48995E-04
 15  0.83037E-05   31.531      0.10000E-02   4600.0       1.1690       1.7645       338.00      0.50000       7.4909       351.00       15.551      0.46857E-04
 16  0.79577E-05   31.531      0.10000E-02   4800.0       1.1690       1.7645       338.00      0.50000       8.5268       382.79       16.963      0.44893E-04
 17  0.76394E-05   31.531      0.10000E-02   5000.0       1.1690       1.7645       338.00      0.50000       9.6568       416.05       18.443      0.43083E-04
 18  0.73456E-05   31.531      0.10000E-02   5200.0       1.1690       1.7645       338.00      0.50000       10.886       450.77       19.991      0.41409E-04
 19  0.70736E-05   31.531      0.10000E-02   5400.0       1.1690       1.7645       338.00      0.50000       12.219       486.99       21.607      0.39856E-04
 20  0.68209E-05   31.531      0.10000E-02   5600.0       1.1690       1.7645       338.00      0.50000       13.660       524.72       23.294      0.38412E-04
 21  0.65857E-05   31.531      0.10000E-02   5800.0       1.1690       1.7645       338.00      0.50000       15.216       563.96       25.052      0.37064E-04
 22  0.63662E-05   31.531      0.10000E-02   6000.0       1.1690       1.7645       338.00      0.50000       16.891       604.75       26.883      0.35804E-04
 23  0.61608E-05   31.531      0.10000E-02   6200.0       1.1690       1.7645       338.00      0.50000       18.690       647.10       28.787      0.34622E-04
 24  0.59683E-05   31.531      0.10000E-02   6400.0       1.1690       1.7645       338.00      0.50000       20.620       691.03       30.767      0.33512E-04
 25  0.57875E-05   31.531      0.10000E-02   6600.0       1.1690       1.7645       338.00      0.50000       22.686       736.56       32.823      0.32468E-04
 26  0.56172E-05   31.531      0.10000E-02   6800.0       1.1690       1.7645       338.00      0.50000       24.894       783.71       34.958      0.31482E-04
 27  0.54567E-05   31.531      0.10000E-02   7000.0       1.1690       1.7645       338.00      0.50000       27.250       832.50       37.175      0.30550E-04
 28  0.53052E-05   31.531      0.10000E-02   7200.0       1.1690       1.7645       338.00      0.50000       29.764       882.95       39.476      0.29665E-04
 29  0.51618E-05   31.531      0.10000E-02   7400.0       1.1690       1.7645       338.00      0.50000       32.447       935.09       41.871      0.28819E-04
 30  0.50259E-05   31.531      0.10000E-02   7600.0       1.1690       1.7645       338.00      0.50000       35.311       988.91       44.368      0.28006E-04
 31  0.48971E-05   31.531      0.10000E-02   7800.0       1.1690       1.7645       338.00      0.50000       38.373       1044.4       46.979      0.27218E-04
 32  0.47746E-05   31.531      0.10000E-02   8000.0       1.1690       1.7645       338.00      0.50000       41.654       1101.7       49.721      0.26448E-04
 33  0.46582E-05   31.531      0.10000E-02   8200.0       1.1690       1.7645       338.00      0.50000       45.179       1160.6       52.613      0.25689E-04
 34  0.45473E-05   31.531      0.10000E-02   8400.0       1.1690       1.7645       338.00      0.50000       48.975       1221.2       55.675      0.24935E-04
 35  0.44415E-05   31.531      0.10000E-02   8600.0       1.1690       1.7645       338.00      0.50000       53.077       1283.4       58.935      0.24181E-04
 36  0.43406E-05   31.531      0.10000E-02   8800.0       1.1690       1.7645       338.00      0.50000       57.524       1347.3       62.422      0.23421E-04
 37  0.42441E-05   31.531      0.10000E-02   9000.0       1.1690       1.7645       338.00      0.50000       62.364       1412.8       66.171      0.22653E-04
