Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.47746       27.408       27.000       1800.0       1.1690       1.7645       338.00      0.50000      0.11399       1.7662      0.60474      0.41836    
  2  0.42972       27.408       27.000       2000.0       1.1690       1.7645       338.00      0.50000      0.40038       11.079       1.9117      0.74709    
  3  0.39065       27.408       27.000       2200.0       1.1690       1.7645       338.00      0.50000      0.75329       22.032       3.2697      0.78970    
  4  0.35810       27.408       27.000       2400.0       1.1690       1.7645       338.00      0.50000       1.1788       34.699       4.6905      0.79474    
  5  0.33055       27.408       27.000       2600.0       1.1690       1.7645       338.00      0.50000       1.6836       49.149       6.1837      0.78819    
  6  0.30694       27.408       27.000       2800.0       1.1690       1.7645       338.00      0.50000       2.2746       65.451       7.7574      0.77693    
  7  0.28648       27.408       27.000       3000.0       1.1690       1.7645       338.00      0.50000       2.9588       83.669       9.4183      0.76350    
  8  0.26857       27.408       27.000       3200.0       1.1690       1.7645       338.00      0.50000       3.7438       103.86       11.172      0.74906    
  9  0.25278       27.408       27.000       3400.0       1.1690       1.7645       338.00      0.50000       4.6370       126.09       13.024      0.73419    
 10  0.23873       27.408       27.000       3600.0       1.1690       1.7645       338.00      0.50000       5.6464       150.41       14.978      0.71921    
 11  0.22617       27.408       27.000       3800.0       1.1690       1.7645       338.00      0.50000       6.7799       176.86       17.038      0.70432    
 12  0.21486       27.408       27.000       4000.0       1.1690       1.7645       338.00      0.50000       8.0459       205.51       19.208      0.68963    
 13  0.20463       27.408       27.000       4200.0       1.1690       1.7645       338.00      0.50000       9.4528       236.39       21.492      0.67521    
 14  0.19533       27.408       27.000       4400.0       1.1690       1.7645       338.00      0.50000       11.010       269.57       23.894      0.66110    
 15  0.18683       27.408       27.000       4600.0       1.1690       1.7645       338.00      0.50000       12.725       305.09       26.417      0.64733    
 16  0.17905       27.408       27.000       4800.0       1.1690       1.7645       338.00      0.50000       14.609       343.00       29.065      0.63391    
 17  0.17189       27.408       27.000       5000.0       1.1690       1.7645       338.00      0.50000       16.672       383.36       31.841      0.62085    
 18  0.16528       27.408       27.000       5200.0       1.1690       1.7645       338.00      0.50000       18.923       426.22       34.751      0.60814    
 19  0.15915       27.408       27.000       5400.0       1.1690       1.7645       338.00      0.50000       21.374       471.65       37.798      0.59579    
 20  0.15347       27.408       27.000       5600.0       1.1690       1.7645       338.00      0.50000       24.036       519.69       40.987      0.58378    
 21  0.14818       27.408       27.000       5800.0       1.1690       1.7645       338.00      0.50000       26.921       570.42       44.323      0.57210    
 22  0.14324       27.408       27.000       6000.0       1.1690       1.7645       338.00      0.50000       30.041       623.90       47.811      0.56075    
 23  0.13862       27.408       27.000       6200.0       1.1690       1.7645       338.00      0.50000       33.410       680.22       51.458      0.54971    
 24  0.13429       27.408       27.000       6400.0       1.1690       1.7645       338.00      0.50000       37.044       739.45       55.272      0.53896    
 25  0.13022       27.408       27.000       6600.0       1.1690       1.7645       338.00      0.50000       40.965       801.66       59.270      0.52837    
 26  0.12639       27.408       27.000       6800.0       1.1690       1.7645       338.00      0.50000       45.204       866.92       63.480      0.51781    
