Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.15915E-04   19.764      0.10000E-02   2000.0       1.1690       1.7645       338.00      0.50000      0.22115       36.611       1.0559      0.16555E-03
  2  0.14469E-04   19.764      0.10000E-02   2200.0       1.1690       1.7645       338.00      0.50000      0.29353       44.360       1.2741      0.15112E-03
  3  0.13263E-04   19.764      0.10000E-02   2400.0       1.1690       1.7645       338.00      0.50000      0.38029       52.869       1.5131      0.13902E-03
  4  0.12243E-04   19.764      0.10000E-02   2600.0       1.1690       1.7645       338.00      0.50000      0.48278       62.145       1.7731      0.12873E-03
  5  0.11368E-04   19.764      0.10000E-02   2800.0       1.1690       1.7645       338.00      0.50000      0.60238       72.194       2.0544      0.11985E-03
  6  0.10610E-04   19.764      0.10000E-02   3000.0       1.1690       1.7645       338.00      0.50000      0.74051       83.024       2.3571      0.11212E-03
  7  0.99472E-05   19.764      0.10000E-02   3200.0       1.1690       1.7645       338.00      0.50000      0.89862       94.641       2.6816      0.10532E-03
  8  0.93621E-05   19.764      0.10000E-02   3400.0       1.1690       1.7645       338.00      0.50000       1.0782       107.06       3.0282      0.99293E-04
  9  0.88419E-05   19.764      0.10000E-02   3600.0       1.1690       1.7645       338.00      0.50000       1.2807       120.28       3.3972      0.93913E-04
 10  0.83766E-05   19.764      0.10000E-02   3800.0       1.1690       1.7645       338.00      0.50000       1.5078       134.32       3.7891      0.89080E-04
 11  0.79577E-05   19.764      0.10000E-02   4000.0       1.1690       1.7645       338.00      0.50000       1.7610       149.18       4.2042      0.84712E-04
 12  0.75788E-05   19.764      0.10000E-02   4200.0       1.1690       1.7645       338.00      0.50000       2.0421       164.89       4.6429      0.80745E-04
 13  0.72343E-05   19.764      0.10000E-02   4400.0       1.1690       1.7645       338.00      0.50000       2.3526       181.45       5.1059      0.77124E-04
 14  0.69198E-05   19.764      0.10000E-02   4600.0       1.1690       1.7645       338.00      0.50000       2.6945       198.87       5.5936      0.73806E-04
 15  0.66315E-05   19.764      0.10000E-02   4800.0       1.1690       1.7645       338.00      0.50000       3.0696       217.18       6.1067      0.70752E-04
 16  0.63662E-05   19.764      0.10000E-02   5000.0       1.1690       1.7645       338.00      0.50000       3.4797       236.38       6.6457      0.67932E-04
 17  0.61213E-05   19.764      0.10000E-02   5200.0       1.1690       1.7645       338.00      0.50000       3.9269       256.50       7.2114      0.65319E-04
 18  0.58946E-05   19.764      0.10000E-02   5400.0       1.1690       1.7645       338.00      0.50000       4.4134       277.56       7.8046      0.62890E-04
 19  0.56841E-05   19.764      0.10000E-02   5600.0       1.1690       1.7645       338.00      0.50000       4.9412       299.57       8.4260      0.60626E-04
 20  0.54881E-05   19.764      0.10000E-02   5800.0       1.1690       1.7645       338.00      0.50000       5.5128       322.55       9.0765      0.58510E-04
 21  0.53052E-05   19.764      0.10000E-02   6000.0       1.1690       1.7645       338.00      0.50000       6.1306       346.54       9.7572      0.56526E-04
 22  0.51340E-05   19.764      0.10000E-02   6200.0       1.1690       1.7645       338.00      0.50000       6.7975       371.55       10.469      0.54660E-04
 23  0.49736E-05   19.764      0.10000E-02   6400.0       1.1690       1.7645       338.00      0.50000       7.5175       397.61       11.217      0.52891E-04
 24  0.48229E-05   19.764      0.10000E-02   6600.0       1.1690       1.7645       338.00      0.50000       8.2969       424.74       12.004      0.51193E-04
 25  0.46810E-05   19.764      0.10000E-02   6800.0       1.1690       1.7645       338.00      0.50000       9.1438       452.98       12.841      0.49539E-04
 26  0.45473E-05   19.764      0.10000E-02   7000.0       1.1690       1.7645       338.00      0.50000       10.069       482.34       13.736      0.47903E-04
 27  0.44210E-05   19.764      0.10000E-02   7200.0       1.1690       1.7645       338.00      0.50000       11.087       512.86       14.705      0.46256E-04
 28  0.43015E-05   19.764      0.10000E-02   7400.0       1.1690       1.7645       338.00      0.50000       12.217       544.55       15.765      0.44575E-04
 29  0.41883E-05   19.764      0.10000E-02   7600.0       1.1690       1.7645       338.00      0.50000       13.479       577.44       16.936      0.42840E-04
 30  0.40809E-05   19.764      0.10000E-02   7800.0       1.1690       1.7645       338.00      0.50000       14.903       611.54       18.245      0.41036E-04
 31  0.39789E-05   19.764      0.10000E-02   8000.0       1.1690       1.7645       338.00      0.50000       16.520       646.86       19.720      0.39156E-04
