Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.31831E-01   27.390       2.0000       2000.0       1.1690       1.7645       338.00      0.50000       1.0737       96.497       5.1266      0.17975    
  2  0.63662E-01   27.390       4.0000       2000.0       1.1690       1.7645       338.00      0.50000       1.0756       86.244       5.1357      0.32073    
  3  0.95493E-01   27.390       6.0000       2000.0       1.1690       1.7645       338.00      0.50000       1.0721       77.164       5.1188      0.43186    
  4  0.12732       27.390       8.0000       2000.0       1.1690       1.7645       338.00      0.50000       1.0618       69.024       5.0698      0.52005    
  5  0.15916       27.390       10.000       2000.0       1.1690       1.7645       338.00      0.50000       1.0442       61.648       4.9858      0.59038    
  6  0.19099       27.390       12.000       2000.0       1.1690       1.7645       338.00      0.50000       1.0181       54.864       4.8612      0.64664    
  7  0.22282       27.390       14.000       2000.0       1.1690       1.7645       338.00      0.50000      0.98219       48.520       4.6896      0.69160    
  8  0.25465       27.390       16.000       2000.0       1.1690       1.7645       338.00      0.50000      0.93485       42.489       4.4636      0.72721    
  9  0.28648       27.390       18.000       2000.0       1.1690       1.7645       338.00      0.50000      0.87451       36.663       4.1755      0.75463    
 10  0.31831       27.390       20.000       2000.0       1.1690       1.7645       338.00      0.50000      0.79955       30.953       3.8176      0.77425    
 11  0.35014       27.390       22.000       2000.0       1.1690       1.7645       338.00      0.50000      0.70841       25.287       3.3824      0.78530    
 12  0.38197       27.390       24.000       2000.0       1.1690       1.7645       338.00      0.50000      0.59962       19.609       2.8630      0.78488    
 13  0.41380       27.390       26.000       2000.0       1.1690       1.7645       338.00      0.50000      0.47179       13.876       2.2527      0.76468    
 14  0.44564       27.390       28.000       2000.0       1.1690       1.7645       338.00      0.50000      0.32373       8.0527       1.5457      0.69650    
 15  0.47747       27.390       30.000       2000.0       1.1690       1.7645       338.00      0.50000      0.15437       2.1170      0.73709      0.41140    
